actionId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue
1,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (8:11 PM EST),period,start,0,0
2,4,PT12M00.00S,1,1610612751,BKN,1628386,Allen,J. Allen,0,0,0,,0,,,0,h,Jump Ball Allen vs. Monroe: Tip to Allen,Jump Ball,,1,0
3,7,PT11M44.00S,1,1610612751,BKN,1626156,Russell,D. Russell,5,37,4,Missed,1,,,0,h,MISS Russell 4' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,1,0
4,8,PT11M39.00S,1,1610612751,BKN,203925,Harris,J. Harris,0,0,0,,0,,,0,h,Harris REBOUND (Off:1 Def:0),Rebound,Unknown,1,0
5,9,PT11M39.00S,1,1610612751,BKN,203925,Harris,J. Harris,0,-6,1,Made,1,2,0,2,h,Harris 1' Tip Layup Shot (2 PTS),Made Shot,Tip Layup Shot,1,0
6,10,PT11M28.00S,1,1610612755,PHI,202710,Butler,J. Butler,-117,22,12,Made,1,2,2,4,v,Butler 12' Step Back Jump Shot (2 PTS),Made Shot,Step Back Jump shot,1,0
7,11,PT11M19.00S,1,1610612751,BKN,1626156,Russell,D. Russell,-22,38,4,Missed,1,,,0,h,MISS Russell 4' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,1,0
8,12,PT11M15.00S,1,1610612755,PHI,202699,Harris,T. Harris,0,0,0,,0,,,0,v,Harris REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
9,13,PT11M13.00S,1,1610612751,BKN,203925,Harris,J. Harris,0,0,0,,0,,,0,h,Harris P.FOUL (P1.T1) (S.Wall),Foul,Personal,1,0
10,15,PT11M10.00S,1,1610612755,PHI,200755,Redick,J. Redick,159,11,16,Missed,1,,,0,v,MISS Redick 16' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,0
11,16,PT11M07.00S,1,1610612751,BKN,1629066,Kurucs,R. Kurucs,0,0,0,,0,,,0,h,Kurucs REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
12,17,PT11M02.00S,1,1610612751,BKN,201960,Carroll,D. Carroll,-175,190,26,Missed,1,,,0,h,MISS Carroll 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,0
13,18,PT11M01.00S,1,1610612751,BKN,1628386,Allen,J. Allen,0,0,0,,0,,,0,h,Allen REBOUND (Off:1 Def:0),Rebound,Unknown,1,0
14,19,PT11M01.00S,1,1610612755,PHI,202328,Monroe,G. Monroe,0,0,0,,0,,,0,v,Monroe S.FOUL (P1.T1) (S.Wall),Foul,Shooting,1,0
15,21,PT11M01.00S,1,1610612751,BKN,1628386,Allen,J. Allen,0,0,0,,0,3,2,5,h,Allen Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0
16,22,PT11M01.00S,1,1610612751,BKN,1628386,Allen,J. Allen,0,0,0,,0,4,2,6,h,Allen Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0
17,23,PT10M51.00S,1,1610612755,PHI,202699,Harris,T. Harris,0,0,0,,0,,,0,v,Harris Lost Ball Turnover (P1.T1),Turnover,Lost Ball,1,0
18,23,PT10M51.00S,1,1610612751,BKN,1626156,Russell,D. Russell,0,0,0,,0,,,0,h,Russell STEAL (1 STL),,,1,0
19,25,PT10M34.00S,1,1610612751,BKN,201960,Carroll,D. Carroll,-144,205,25,Made,1,7,2,9,h,Carroll 25' 3PT Jump Shot (3 PTS) (Allen 1 AST),Made Shot,Jump Shot,1,0
20,27,PT10M15.00S,1,1610612755,PHI,200755,Redick,J. Redick,-29,215,22,Made,1,7,4,11,v,Redick 22' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,1,0
21,28,PT10M05.00S,1,1610612751,BKN,1626156,Russell,D. Russell,-95,64,11,Missed,1,,,0,h,MISS Russell 11' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,0
22,29,PT10M02.00S,1,1610612751,BKN,1628386,Allen,J. Allen,0,0,0,,0,,,0,h,Allen REBOUND (Off:2 Def:0),Rebound,Unknown,1,0
23,30,PT10M01.00S,1,1610612751,BKN,1628386,Allen,J. Allen,-6,6,1,Made,1,9,4,13,h,Allen 1' Putback Dunk (4 PTS),Made Shot,Putback Dunk Shot,1,0
24,31,PT10M01.00S,1,0,,1610612755,,,0,0,0,,0,,,0,v,76ers Timeout: Regular (Reg.1 Short 0),Timeout,Regular,0,0
25,32,PT09M49.00S,1,1610612755,PHI,1627732,Simmons,B. Simmons,34,59,7,Made,1,9,6,15,v,B. Simmons 7' Hook Shot (2 PTS) (Redick 1 AST),Made Shot,Hook Shot,1,0
26,34,PT09M38.00S,1,1610612751,BKN,1626156,Russell,D. Russell,47,246,25,Missed,1,,,0,h,MISS Russell 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,0
27,35,PT09M38.00S,1,1610612755,PHI,202328,Monroe,G. Monroe,0,0,0,,0,,,0,v,Monroe REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
28,36,PT09M29.00S,1,1610612755,PHI,202328,Monroe,G. Monroe,7,55,6,Made,1,9,8,17,v,Monroe 6' Floating Jump Shot (2 PTS) (B. Simmons 1 AST),Made Shot,Floating Jump shot,1,0
29,38,PT09M18.00S,1,1610612751,BKN,201960,Carroll,D. Carroll,-36,252,25,Made,1,12,8,20,h,Carroll 25' 3PT Pullup Jump Shot (6 PTS) (Russell 1 AST),Made Shot,Pullup Jump shot,1,0
30,40,PT09M01.00S,1,1610612755,PHI,200755,Redick,J. Redick,104,116,16,Made,1,12,10,22,v,Redick 16' Pullup Jump Shot (4 PTS) (Monroe 1 AST),Made Shot,Pullup Jump shot,1,0
31,42,PT08M36.00S,1,1610612751,BKN,1626156,Russell,D. Russell,-23,55,6,Made,1,14,10,24,h,Russell 6' Driving Finger Roll Layup (2 PTS),Made Shot,Driving Finger Roll Layup Shot,1,0
32,43,PT08M23.00S,1,1610612755,PHI,202710,Butler,J. Butler,19,9,2,Missed,1,,,0,v,MISS Butler 2' Driving Layup,Missed Shot,Driving Layup Shot,1,0
33,44,PT08M21.00S,1,1610612751,BKN,1628386,Allen,J. Allen,0,0,0,,0,,,0,h,Allen REBOUND (Off:2 Def:1),Rebound,Unknown,1,0
