actionId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue
1,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (9:11 PM EST),period,start,0,0
2,4,PT12M00.00S,1,1610612762,UTA,203497,Gobert,R. Gobert,0,0,0,,0,,,0,h,Jump Ball Gobert vs. Ibaka: Tip to Conley,Jump Ball,,1,0
3,7,PT11M43.00S,1,1610612762,UTA,201144,Conley,M. Conley,-76,270,28,Missed,1,,,0,h,MISS Conley 28' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,0
4,8,PT11M40.00S,1,1610612761,TOR,201586,Ibaka,S. Ibaka,0,0,0,,0,,,0,v,Ibaka REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
5,9,PT11M36.00S,1,1610612761,TOR,200768,Lowry,K. Lowry,121,255,28,Missed,1,,,0,v,MISS Lowry 28' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,0
6,10,PT11M33.00S,1,1610612762,UTA,1626220,O'Neale,R. O'Neale,0,0,0,,0,,,0,h,O'Neale REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
7,11,PT11M25.00S,1,1610612762,UTA,1628378,Mitchell,D. Mitchell,-39,25,5,Missed,1,,,0,h,MISS Mitchell 5' Driving Layup,Missed Shot,Driving Layup Shot,1,0
8,12,PT11M23.00S,1,1610612761,TOR,201586,Ibaka,S. Ibaka,0,0,0,,0,,,0,v,Ibaka REBOUND (Off:0 Def:2),Rebound,Unknown,1,0
9,13,PT11M05.00S,1,1610612761,TOR,201586,Ibaka,S. Ibaka,-25,1,3,Made,1,0,2,2,v,Ibaka 3' Hook Shot (2 PTS) (Lowry 1 AST),Made Shot,Hook Shot,1,0
10,15,PT10M51.00S,1,1610612762,UTA,202711,Bogdanovic,B. Bogdanovic,0,0,0,,0,,,0,h,Bogdanovic Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1,0
11,15,PT10M51.00S,1,1610612761,TOR,1628384,Anunoby,O. Anunoby,0,0,0,,0,,,0,v,Anunoby STEAL (1 STL),,,1,0
12,17,PT10M45.00S,1,1610612761,TOR,1626181,Powell,N. Powell,168,200,26,Missed,1,,,0,v,MISS Powell 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,0
13,18,PT10M42.00S,1,1610612762,UTA,1626220,O'Neale,R. O'Neale,0,0,0,,0,,,0,h,O'Neale REBOUND (Off:0 Def:2),Rebound,Unknown,1,0
14,19,PT10M30.00S,1,1610612762,UTA,1628378,Mitchell,D. Mitchell,68,246,26,Made,1,3,2,5,h,Mitchell 26' 3PT Jump Shot (3 PTS) (Conley 1 AST),Made Shot,Jump Shot,1,0
15,21,PT10M25.00S,1,0,,1610612761,,,0,0,0,,0,,,0,v,Raptors Timeout: Regular (Reg.1 Short 0),Timeout,Regular,0,0
16,23,PT10M25.00S,1,1610612761,TOR,1626181,Powell,N. Powell,0,0,0,,0,,,0,v,SUB: McCaw FOR Powell,Substitution,,0,0
17,25,PT10M14.00S,1,1610612761,TOR,1627783,Siakam,P. Siakam,0,0,0,,0,,,0,v,Siakam Illegal Screen Turnover (P1.T1),Turnover,Illegal Screen Turnover,1,0
18,26,PT09M56.00S,1,1610612762,UTA,1626220,O'Neale,R. O'Neale,-33,74,8,Made,1,5,2,7,h,O'Neale 8' Driving Floating Jump Shot (2 PTS) (Bogdanovic 1 AST),Made Shot,Driving Floating Jump Shot,1,0
19,28,PT09M33.00S,1,1610612761,TOR,201586,Ibaka,S. Ibaka,-36,51,6,Missed,1,,,0,v,MISS Ibaka 6' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,0
20,29,PT09M32.00S,1,1610612762,UTA,202711,Bogdanovic,B. Bogdanovic,0,0,0,,0,,,0,h,Bogdanovic REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
21,30,PT09M12.00S,1,1610612762,UTA,201144,Conley,M. Conley,5,193,19,Missed,1,,,0,h,MISS Conley 19' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,0
22,31,PT09M09.00S,1,1610612761,TOR,1627775,McCaw,P. McCaw,0,0,0,,0,,,0,v,McCaw REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
23,32,PT08M58.00S,1,1610612761,TOR,1627783,Siakam,P. Siakam,-53,83,10,Made,1,5,4,9,v,Siakam 10' Turnaround Fadeaway (2 PTS),Made Shot,Turnaround Fadeaway shot,1,0
24,33,PT08M31.00S,1,1610612762,UTA,201144,Conley,M. Conley,0,0,0,,0,,,0,h,Conley OFF.Foul (P1) (R.Mott),Foul,Offensive,1,0
25,35,PT08M31.00S,1,1610612762,UTA,201144,Conley,M. Conley,0,0,0,,0,,,0,h,Conley Offensive Foul Turnover (P1.T2),Turnover,Offensive Foul Turnover,1,0
26,36,PT08M31.00S,1,1610612761,TOR,1628384,Anunoby,O. Anunoby,0,0,0,,0,,,0,v,SUB: Hollis-Jefferson FOR Anunoby,Substitution,,0,0
27,38,PT08M24.00S,1,1610612761,TOR,201586,Ibaka,S. Ibaka,-196,153,25,Made,1,5,7,12,v,Ibaka 25' 3PT Jump Shot (5 PTS) (Siakam 1 AST),Made Shot,Jump Shot,1,0
28,40,PT08M08.00S,1,1610612762,UTA,1628378,Mitchell,D. Mitchell,-1,79,8,Missed,1,,,0,h,MISS Mitchell 8' Floating Jump Shot,Missed Shot,Floating Jump shot,1,0
29,41,PT08M05.00S,1,1610612761,TOR,201586,Ibaka,S. Ibaka,0,0,0,,0,,,0,v,Ibaka REBOUND (Off:0 Def:3),Rebound,Unknown,1,0
30,42,PT08M00.00S,1,1610612762,UTA,202711,Bogdanovic,B. Bogdanovic,0,0,0,,0,,,0,h,Bogdanovic P.FOUL (P1.T1) (C.Kirkland),Foul,Personal,1,0
31,45,PT07M52.00S,1,1610612761,TOR,200768,Lowry,K. Lowry,116,224,25,Made,1,5,10,15,v,Lowry 25' 3PT Jump Shot (3 PTS) (McCaw 1 AST),Made Shot,Jump Shot,1,0
32,47,PT07M40.00S,1,1610612762,UTA,1626220,O'Neale,R. O'Neale,22,12,3,Made,1,7,10,17,h,O'Neale 3' Driving Layup (4 PTS),Made Shot,Driving Layup Shot,1,0
33,48,PT07M30.00S,1,1610612761,TOR,200768,Lowry,K. Lowry,-22,13,3,Made,1,7,12,19,v,Lowry 3' Running Layup (5 PTS),Made Shot,Running Layup Shot,1,0
34,49,PT07M14.00S,1,1610612762,UTA,1626220,O'Neale,R. O'Neale,-229,21,0,Missed,1,,,0,h,MISS O'Neale 3PT Jump Shot,Missed Shot,Jump Shot,1,0
