actionId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue
1,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (8:11 PM EST),period,start,0,0
2,4,PT12M00.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,0,0,0,,0,,,0,h, ,Jump Ball,,1,0
3,8,PT11M45.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,-4,10,1,Made,1,2,0,2,h,Gobert 1' Alley Oop Dunk (2 PTS) (Edwards 1 AST),Made Shot,Alley Oop Dunk Shot,1,0
4,10,PT11M27.00S,1,1610612742,DAL,1626174,Wood,C. Wood,-175,185,25,Made,1,2,3,5,v,Wood 25' 3PT Jump Shot (3 PTS) (Doncic 1 AST),Made Shot,Jump Shot,1,0
5,12,PT11M13.00S,1,1610612750,MIN,1626156,Russell,D. Russell,91,255,27,Missed,1,,,0,h,MISS Russell 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,0
6,13,PT11M11.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,0,0,0,,0,,,0,h,Gobert REBOUND (Off:1 Def:0),Rebound,Unknown,1,0
7,14,PT11M11.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,-21,21,3,Made,1,4,3,7,h,Gobert 3' Layup (4 PTS),Made Shot,Layup Shot,1,0
8,15,PT11M11.00S,1,1610612742,DAL,1626174,Wood,C. Wood,0,0,0,,0,,,0,v,Wood S.FOUL (P1.T1) (M.Boland),Foul,Shooting,1,0
9,17,PT11M11.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,0,0,0,,0,,,0,h,MISS Gobert Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,1,0
10,18,PT11M09.00S,1,1610612742,DAL,1629029,Doncic,L. Doncic,0,0,0,,0,,,0,v,Doncic REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
11,19,PT10M47.00S,1,1610612742,DAL,1629029,Doncic,L. Doncic,0,0,0,,0,,,0,v,Doncic Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1,0
12,19,PT10M47.00S,1,1610612750,MIN,203085,Rivers,A. Rivers,0,0,0,,0,,,0,h,Rivers STEAL (1 STL),,,1,0
13,21,PT10M41.00S,1,1610612750,MIN,203085,Rivers,A. Rivers,-17,21,3,Missed,1,,,0,h,MISS Rivers 3' Driving Layup,Missed Shot,Driving Layup Shot,1,0
14,22,PT10M40.00S,1,0,,1610612742,,,0,0,0,,0,,,0,v,Mavericks Rebound,Rebound,Unknown,1,0
15,24,PT10M26.00S,1,1610612742,DAL,203493,Bullock,R. Bullock,-29,270,27,Missed,1,,,0,v,MISS Bullock 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,0
16,25,PT10M22.00S,1,1610612750,MIN,1626156,Russell,D. Russell,0,0,0,,0,,,0,h,Russell REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
17,26,PT10M15.00S,1,1610612750,MIN,203085,Rivers,A. Rivers,-173,178,25,Missed,1,,,0,h,MISS Rivers 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,0
18,27,PT10M11.00S,1,1610612742,DAL,1626174,Wood,C. Wood,0,0,0,,0,,,0,v,Wood REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
19,28,PT10M01.00S,1,1610612742,DAL,1629029,Doncic,L. Doncic,-21,21,3,Made,1,4,5,9,v,Doncic 3' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,1,0
20,33,PT10M01.00S,1,1610612750,MIN,1630162,Edwards,A. Edwards,0,0,0,,0,,,0,h,Defensive Goaltending,Violation,Defensive Goaltending,1,0
