actionId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue
1,1,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:42 PM EST),period,start,0,0
2,2,PT12M00.00S,1,1610612751,NJN,2743,Humphries,K. Humphries,0,0,0,,0,,,0,h,Jump Ball Humphries vs. Milicic: Tip to Love,Jump Ball,,0,0
3,3,PT11M44.00S,1,1610612750,MIN,202325,Johnson,W. Johnson,-180,7,18,Missed,1,,,0,v,MISS Johnson 18' Jump Shot,Missed Shot,Jump Shot,0,0
4,4,PT11M43.00S,1,1610612751,NJN,201627,Morrow,A. Morrow,0,0,0,,0,,,0,h,Morrow REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
5,5,PT11M24.00S,1,1610612750,MIN,201937,Rubio,R. Rubio,0,0,0,,0,,,0,v,Rubio S.FOUL (P1.T1),Foul,Shooting,0,0
6,6,PT11M24.00S,1,1610612751,NJN,201627,Morrow,A. Morrow,0,0,0,,0,1,0,1,h,Morrow Free Throw 1 of 3 (1 PTS),Free Throw,Free Throw 1 of 3,0,0
7,8,PT11M24.00S,1,1610612751,NJN,201627,Morrow,A. Morrow,0,0,0,,0,2,0,2,h,Morrow Free Throw 2 of 3 (2 PTS),Free Throw,Free Throw 2 of 3,0,0
8,10,PT11M24.00S,1,1610612751,NJN,201627,Morrow,A. Morrow,0,0,0,,0,3,0,3,h,Morrow Free Throw 3 of 3 (3 PTS),Free Throw,Free Throw 3 of 3,0,0
9,12,PT11M06.00S,1,1610612750,MIN,2545,Milicic,D. Milicic,0,0,0,,0,,,0,v,Milicic Poss Lost Ball Turnover (P1.T1),Turnover,Poss Lost Ball Turnover,0,0
10,12,PT11M06.00S,1,1610612751,NJN,200749,Williams,S. Williams,0,0,0,,0,,,0,h,Shel. Williams STEAL (1 STL),,,0,0
11,13,PT10M57.00S,1,1610612751,NJN,101114,Williams,D. Williams,53,53,7,Made,1,5,0,5,h,D. Williams 7' Running Hook Shot (2 PTS) (Shel. Williams 1 AST),Made Shot,Running Hook Shot,0,0
12,14,PT10M47.00S,1,1610612750,MIN,201937,Rubio,R. Rubio,-2,142,14,Missed,1,,,0,v,MISS Rubio 14' Jump Shot,Missed Shot,Jump Shot,0,0
13,15,PT10M46.00S,1,1610612751,NJN,2743,Humphries,K. Humphries,0,0,0,,0,,,0,h,Humphries REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
14,16,PT10M37.00S,1,1610612751,NJN,2743,Humphries,K. Humphries,-51,148,16,Missed,1,,,0,h,MISS Humphries 16' Jump Shot,Missed Shot,Jump Shot,0,0
15,17,PT10M35.00S,1,1610612750,MIN,202325,Johnson,W. Johnson,0,0,0,,0,,,0,v,Johnson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
16,18,PT10M30.00S,1,1610612751,NJN,200761,Williams,S. Williams,0,0,0,,0,,,0,h,Sha. Williams P.FOUL (P1.T1),Foul,Personal,0,0
17,19,PT10M22.00S,1,1610612750,MIN,201567,Love,K. Love,-2,82,8,Missed,1,,,0,v,MISS Love 8' Hook Shot,Missed Shot,Hook Shot,0,0
18,20,PT10M21.00S,1,1610612751,NJN,200749,Williams,S. Williams,0,0,0,,0,,,0,h,Shel. Williams REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
19,21,PT10M01.00S,1,1610612751,NJN,201627,Morrow,A. Morrow,-122,69,14,Missed,1,,,0,h,MISS Morrow 14' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,0,0
20,22,PT10M00.00S,1,1610612750,MIN,201567,Love,K. Love,0,0,0,,0,,,0,v,Love REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
21,23,PT09M46.00S,1,1610612750,MIN,201567,Love,K. Love,9,58,6,Made,1,5,2,7,v,Love 6' Hook Shot (2 PTS) (Rubio 1 AST),Made Shot,Hook Shot,0,0
22,24,PT09M30.00S,1,1610612751,NJN,101114,Williams,D. Williams,-103,168,20,Missed,1,,,0,h,MISS D. Williams 20' Jump Shot,Missed Shot,Jump Shot,0,0
23,25,PT09M29.00S,1,1610612750,MIN,201937,Rubio,R. Rubio,0,0,0,,0,,,0,v,Rubio REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
24,26,PT09M14.00S,1,1610612750,MIN,201567,Love,K. Love,140,6,14,Missed,1,,,0,v,MISS Love 14' Jump Shot,Missed Shot,Jump Shot,0,0
25,27,PT09M13.00S,1,1610612750,MIN,2545,Milicic,D. Milicic,0,0,0,,0,,,0,v,Milicic REBOUND (Off:1 Def:0),Rebound,Unknown,0,0
26,28,PT09M03.00S,1,1610612750,MIN,2557,Ridnour,L. Ridnour,-158,0,16,Made,1,5,4,9,v,Ridnour 16' Jump Shot (2 PTS),Made Shot,Jump Shot,0,0
27,29,PT08M39.00S,1,1610612751,NJN,101114,Williams,D. Williams,-157,48,16,Missed,1,,,0,h,MISS D. Williams 16' Jump Shot,Missed Shot,Jump Shot,0,0
28,30,PT08M38.00S,1,1610612751,NJN,200749,Williams,S. Williams,0,0,0,,0,,,0,h,Shel. Williams REBOUND (Off:1 Def:1),Rebound,Unknown,0,0
29,31,PT08M30.00S,1,1610612750,MIN,202325,Johnson,W. Johnson,0,0,0,,0,,,0,v,Johnson S.FOUL (P1.T2),Foul,Shooting,0,0
30,32,PT08M30.00S,1,1610612751,NJN,200749,Williams,S. Williams,0,0,0,,0,,,0,h,MISS Shel. Williams Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0
31,33,PT08M30.00S,1,0,,1610612751,,,0,0,0,,0,,,0,h,NETS Rebound,Rebound,Normal Rebound,0,0
32,34,PT08M30.00S,1,1610612751,NJN,200749,Williams,S. Williams,0,0,0,,0,,,0,h,MISS Shel. Williams Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0
