actionId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue
1,0,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:12 PM EST),period,start,0,0
2,1,PT12M00.00S,1,1610612761,TOR,101161,Johnson,A. Johnson,0,0,0,,0,,,0,h,Jump Ball A. Johnson vs. Biyombo: Tip to DeRozan,Jump Ball,,0,0
3,2,PT11M41.00S,1,1610612761,TOR,101161,Johnson,A. Johnson,-2,14,1,Missed,1,,,0,h,MISS A. Johnson 1' Driving Dunk,Missed Shot,Driving Dunk Shot,0,0
4,2,PT11M41.00S,1,1610612766,CHA,202687,Biyombo,B. Biyombo,0,0,0,,0,,,0,v,Biyombo BLOCK (1 BLK),,,0,0
5,3,PT11M39.00S,1,1610612766,CHA,2564,Diaw,B. Diaw,0,0,0,,0,,,0,v,Diaw REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
6,4,PT11M23.00S,1,1610612766,CHA,2564,Diaw,B. Diaw,-73,233,24,Missed,1,,,0,v,MISS Diaw 24' 3PT Jump Shot,Missed Shot,Jump Shot,0,0
7,5,PT11M22.00S,1,1610612761,TOR,201189,Gray,A. Gray,0,0,0,,0,,,0,h,Gray REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
8,6,PT11M10.00S,1,1610612761,TOR,201189,Gray,A. Gray,0,0,0,,0,,,0,h,Gray 3 Second Violation Turnover (P1.T1),Turnover,3 Second Violation,0,0
9,7,PT10M55.00S,1,1610612766,CHA,202130,Williams,R. Williams,-8,7,1,Made,1,0,2,2,v,Williams 1' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,0,0
10,8,PT10M48.00S,1,1610612761,TOR,201942,DeRozan,D. DeRozan,20,4,2,Made,1,2,2,4,h,DeRozan 2' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,0,0
11,10,PT10M29.00S,1,1610612766,CHA,1894,Maggette,C. Maggette,0,0,0,,0,,,0,v,Maggette Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0
