actionId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue
1,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (8:11 PM EST),period,start,0,0
2,4,PT12M00.00S,1,1610612760,OKC,203500,Adams,S. Adams,0,0,0,,0,,,0,h,Jump Ball Adams vs. Cauley-Stein: Tip to Westbrook,Jump Ball,,1,0
3,7,PT11M55.00S,1,1610612760,OKC,1628390,Ferguson,T. Ferguson,-218,9,0,Missed,1,,,0,h,MISS Ferguson 3PT Jump Shot,Missed Shot,Jump Shot,1,0
4,8,PT11M52.00S,1,1610612758,SAC,1626161,Cauley-Stein,W. Cauley-Stein,0,0,0,,0,,,0,v,Cauley-Stein REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
5,9,PT11M45.00S,1,1610612758,SAC,203084,Barnes,H. Barnes,8,2,1,Missed,1,,,0,v,MISS Barnes 1' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,1,0
6,10,PT11M43.00S,1,1610612760,OKC,203500,Adams,S. Adams,0,0,0,,0,,,0,h,Adams REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
7,11,PT11M33.00S,1,1610612760,OKC,202331,George,P. George,5,13,1,Made,1,2,0,2,h,George 1' Cutting Dunk Shot (2 PTS) (Adams 1 AST),Made Shot,Cutting Dunk Shot,1,0
8,13,PT11M11.00S,1,1610612758,SAC,1627741,Hield,B. Hield,87,148,17,Missed,1,,,0,v,MISS Hield 17' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,0
9,14,PT11M09.00S,1,1610612760,OKC,202331,George,P. George,0,0,0,,0,,,0,h,George REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
10,15,PT11M04.00S,1,1610612760,OKC,201566,Westbrook,R. Westbrook,0,0,0,,0,,,0,h,Westbrook Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1,0
11,15,PT11M04.00S,1,1610612758,SAC,1626161,Cauley-Stein,W. Cauley-Stein,0,0,0,,0,,,0,v,Cauley-Stein STEAL (1 STL),,,1,0
12,17,PT10M56.00S,1,1610612758,SAC,1628368,Fox,D. Fox,-109,168,20,Made,1,2,2,4,v,Fox 20' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,1,0
13,19,PT10M33.00S,1,1610612760,OKC,201566,Westbrook,R. Westbrook,109,21,11,Missed,1,,,0,h,MISS Westbrook 11' Jump Shot,Missed Shot,Jump Shot,1,0
14,20,PT10M30.00S,1,1610612758,SAC,1627741,Hield,B. Hield,0,0,0,,0,,,0,v,Hield REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
15,21,PT10M17.00S,1,1610612758,SAC,203084,Barnes,H. Barnes,-139,228,27,Missed,1,,,0,v,MISS Barnes 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,0
16,22,PT10M16.00S,1,0,,1610612760,,,0,0,0,,0,,,0,h,THUNDER Rebound,Rebound,Unknown,0,0
17,24,PT10M02.00S,1,1610612760,OKC,1628390,Ferguson,T. Ferguson,-51,16,5,Missed,1,,,0,h,MISS Ferguson 5' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,1,0
18,25,PT09M59.00S,1,1610612758,SAC,203992,Bogdanovic,B. Bogdanovic,0,0,0,,0,,,0,v,Bogdanovic REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
19,26,PT09M55.00S,1,1610612758,SAC,203992,Bogdanovic,B. Bogdanovic,0,0,0,,0,,,0,v,Bogdanovic Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,1,0
20,27,PT09M49.00S,1,1610612760,OKC,202331,George,P. George,0,0,0,,0,,,0,h,George OFF.Foul (P1) (K.Lane),Foul,Offensive,1,0
21,29,PT09M49.00S,1,1610612760,OKC,202331,George,P. George,0,0,0,,0,,,0,h,George Offensive Foul Turnover (P1.T2),Turnover,Offensive Foul Turnover,1,0
22,30,PT09M35.00S,1,1610612758,SAC,203992,Bogdanovic,B. Bogdanovic,-27,36,5,Made,1,2,4,6,v,Bogdanovic 5' Driving Floating Jump Shot (2 PTS) (Hield 1 AST),Made Shot,Driving Floating Jump Shot,1,0
23,32,PT09M28.00S,1,1610612760,OKC,201566,Westbrook,R. Westbrook,0,0,0,,0,,,0,h,Westbrook Out of Bounds - Bad Pass Turnover Turnover (P2.T3),Turnover,Out of Bounds - Bad Pass Turnover,1,0
24,33,PT09M20.00S,1,1610612758,SAC,1627741,Hield,B. Hield,79,218,23,Missed,1,,,0,v,MISS Hield 23' Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,0
25,35,PT09M19.00S,1,0,,1610612758,,,0,0,0,,0,,,0,v,Kings Rebound,Rebound,Unknown,0,0
26,37,PT09M14.00S,1,1610612758,SAC,203992,Bogdanovic,B. Bogdanovic,-111,64,13,Made,1,2,6,8,v,Bogdanovic 13' Turnaround Fadeaway (4 PTS),Made Shot,Turnaround Fadeaway shot,1,0
27,38,PT09M01.00S,1,1610612760,OKC,202331,George,P. George,123,66,14,Made,1,4,6,10,h,George 14' Jump Shot (4 PTS),Made Shot,Jump Shot,1,0
28,40,PT08M44.00S,1,1610612758,SAC,203992,Bogdanovic,B. Bogdanovic,-235,12,24,Made,1,4,9,13,v,Bogdanovic 24' 3PT Jump Shot (7 PTS) (Hield 2 AST),Made Shot,Jump Shot,1,0
29,42,PT08M35.00S,1,1610612760,OKC,203500,Adams,S. Adams,5,17,2,Made,1,6,9,15,h,Adams 2' Alley Oop Dunk (2 PTS) (Westbrook 1 AST),Made Shot,Alley Oop Dunk Shot,1,0
30,45,PT08M23.00S,1,1610612758,SAC,1627741,Hield,B. Hield,-142,28,14,Made,1,6,11,17,v,Hield 14' Step Back Jump Shot (2 PTS),Made Shot,Step Back Jump shot,1,0
31,46,PT08M13.00S,1,1610612760,OKC,202331,George,P. George,152,206,26,Made,1,9,11,20,h,George 26' 3PT Pullup Jump Shot (7 PTS),Made Shot,Pullup Jump shot,1,0
32,47,PT07M54.00S,1,1610612758,SAC,1627741,Hield,B. Hield,0,2,0,Made,1,9,13,22,v,Hield Cutting Dunk Shot (4 PTS) (Fox 1 AST),Made Shot,Cutting Dunk Shot,1,0
33,49,PT07M39.00S,1,1610612760,OKC,201566,Westbrook,R. Westbrook,223,117,25,Made,1,12,13,25,h,Westbrook 25' 3PT Jump Shot (3 PTS) (George 1 AST),Made Shot,Jump Shot,1,0
34,51,PT07M29.00S,1,1610612760,OKC,1628390,Ferguson,T. Ferguson,0,0,0,,0,,,0,h,Ferguson P.FOUL (P1.T1) (M.Callahan),Foul,Personal,1,0
35,53,PT07M20.00S,1,1610612758,SAC,1628368,Fox,D. Fox,4,62,6,Missed,1,,,0,v,MISS Fox 6' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,0
36,54,PT07M16.00S,1,1610612760,OKC,201566,Westbrook,R. Westbrook,0,0,0,,0,,,0,h,Westbrook REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
37,55,PT07M04.00S,1,1610612760,OKC,203500,Adams,S. Adams,22,64,7,Made,1,14,13,27,h,Adams 7' Driving Hook Shot (4 PTS),Made Shot,Driving Hook Shot,1,0
38,56,PT06M52.00S,1,1610612758,SAC,1627741,Hield,B. Hield,-6,34,3,Missed,1,,,0,v,MISS Hield 3' Driving Layup,Missed Shot,Driving Layup Shot,1,0
39,57,PT06M50.00S,1,1610612760,OKC,203924,Grant,J. Grant,0,0,0,,0,,,0,h,Grant REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
40,58,PT06M46.00S,1,1610612760,OKC,1628390,Ferguson,T. Ferguson,234,30,24,Missed,1,,,0,h,MISS Ferguson 24' 3PT Jump Shot,Missed Shot,Jump Shot,1,0
41,59,PT06M43.00S,1,1610612760,OKC,203500,Adams,S. Adams,0,0,0,,0,,,0,h,Adams REBOUND (Off:1 Def:1),Rebound,Unknown,1,0
42,60,PT06M43.00S,1,1610612760,OKC,203500,Adams,S. Adams,0,-6,1,Missed,1,,,0,h,MISS Adams 1' Tip Layup Shot,Missed Shot,Tip Layup Shot,1,0
43,61,PT06M43.00S,1,0,,1610612760,,,0,0,0,,0,,,0,h,THUNDER Rebound,Rebound,Unknown,0,0
44,63,PT06M43.00S,1,0,,1610612760,,,0,0,0,,0,,,0,h,THUNDER Timeout: Regular (Full 1 Short 0),Timeout,Regular,0,0
45,66,PT06M43.00S,1,1610612758,SAC,203992,Bogdanovic,B. Bogdanovic,0,0,0,,0,,,0,v,SUB: Bagley III FOR Bogdanovic,Substitution,,0,0
46,64,PT06M30.00S,1,1610612760,OKC,202331,George,P. George,13,41,4,Missed,1,,,0,h,MISS George 4' Driving Layup,Missed Shot,Driving Layup Shot,1,0
47,64,PT06M30.00S,1,1610612758,SAC,1628963,Bagley III,M. Bagley III,0,0,0,,0,,,0,v,Bagley III BLOCK (1 BLK),,,1,0
48,65,PT06M26.00S,1,1610612758,SAC,1628963,Bagley III,M. Bagley III,0,0,0,,0,,,0,v,Bagley III REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
49,68,PT06M09.00S,1,1610612758,SAC,1627741,Hield,B. Hield,70,200,21,Made,1,14,15,29,v,Hield 21' Step Back Jump Shot (6 PTS),Made Shot,Step Back Jump shot,1,0
50,69,PT05M53.00S,1,1610612760,OKC,203924,Grant,J. Grant,2,5,1,Missed,1,,,0,h,MISS Grant 1' Driving Dunk,Missed Shot,Driving Dunk Shot,1,0
51,69,PT05M53.00S,1,1610612758,SAC,1628368,Fox,D. Fox,0,0,0,,0,,,0,v,Fox BLOCK (1 BLK),,,1,0
52,71,PT05M53.00S,1,1610612758,SAC,1626161,Cauley-Stein,W. Cauley-Stein,0,0,0,,0,,,0,v,Cauley-Stein REBOUND (Off:0 Def:2),Rebound,Unknown,1,0
