actionId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue
1,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:11 PM EST),period,start,0,0
2,4,PT12M00.00S,1,1610612753,ORL,202696,Vucevic,N. Vucevic,0,0,0,,0,,,0,h,Jump Ball Vucevic vs. Zizic: Tip to Love,Jump Ball,,1,0
3,7,PT11M42.00S,1,1610612739,CLE,201567,Love,K. Love,-21,27,3,Made,1,0,2,2,v,Love 3' Hook Shot (2 PTS) (Osman 1 AST),Made Shot,Hook Shot,1,0
4,9,PT11M23.00S,1,1610612753,ORL,203932,Gordon,A. Gordon,-52,22,6,Missed,1,,,0,h,MISS Gordon 6' Layup,Missed Shot,Layup Shot,1,0
5,9,PT11M23.00S,1,1610612739,CLE,201567,Love,K. Love,0,0,0,,0,,,0,v,Love BLOCK (1 BLK),,,1,0
6,11,PT11M19.00S,1,1610612739,CLE,1627790,Zizic,A. Zizic,0,0,0,,0,,,0,v,Zizic REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
7,12,PT11M14.00S,1,1610612739,CLE,1629012,Sexton,C. Sexton,14,273,27,Missed,1,,,0,v,MISS Sexton 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,0
8,13,PT11M12.00S,1,1610612753,ORL,202696,Vucevic,N. Vucevic,0,0,0,,0,,,0,h,Vucevic REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
9,14,PT11M04.00S,1,1610612753,ORL,202696,Vucevic,N. Vucevic,-41,57,7,Missed,1,,,0,h,MISS Vucevic 7' Hook Shot,Missed Shot,Hook Shot,1,0
10,15,PT11M01.00S,1,1610612739,CLE,201567,Love,K. Love,0,0,0,,0,,,0,v,Love REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
11,16,PT10M54.00S,1,1610612739,CLE,202688,Knight,B. Knight,143,230,27,Made,1,0,5,5,v,Knight 27' 3PT Jump Shot (3 PTS),Made Shot,Jump Shot,1,0
12,17,PT10M35.00S,1,1610612753,ORL,1628371,Isaac,J. Isaac,-34,36,5,Made,1,2,5,7,h,Isaac 5' Driving Layup (2 PTS) (Augustin 1 AST),Made Shot,Driving Layup Shot,1,0
13,19,PT10M35.00S,1,1610612739,CLE,1629012,Sexton,C. Sexton,0,0,0,,0,,,0,v,Sexton S.FOUL (P1.T1) (D.Guthrie),Foul,Shooting,1,0
14,21,PT10M35.00S,1,1610612753,ORL,1628371,Isaac,J. Isaac,0,0,0,,0,3,5,8,h,Isaac Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,0,0
15,22,PT10M18.00S,1,1610612739,CLE,1626224,Osman,C. Osman,77,253,26,Missed,1,,,0,v,MISS Osman 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,0
16,23,PT10M14.00S,1,1610612753,ORL,201571,Augustin,D. Augustin,0,0,0,,0,,,0,h,Augustin REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
17,24,PT10M04.00S,1,1610612753,ORL,202696,Vucevic,N. Vucevic,-19,59,6,Made,1,5,5,10,h,Vucevic 6' Hook Shot (2 PTS) (Isaac 1 AST),Made Shot,Hook Shot,1,0
18,25,PT09M44.00S,1,1610612739,CLE,1626224,Osman,C. Osman,-15,8,2,Made,1,5,7,12,v,Osman 2' Driving Layup (2 PTS) (Love 1 AST),Made Shot,Driving Layup Shot,1,0
