actionId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue
1,0,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (8:55 PM EST),period,start,0,0
2,1,PT12M00.00S,1,1610612759,SAS,1737,Mohammed,N. Mohammed,0,0,0,,0,0,0,0,h,Jump Ball Mohammed vs. Stoudemire: Tip to Duncan,Jump Ball,,0,0
3,2,PT11M41.00S,1,1610612759,SAS,1938,Ginobili,M. Ginobili,-95,140,17,Missed,1,0,0,0,h,MISS Ginobili 17' Jump Shot,Missed Shot,Jump Shot,0,0
4,3,PT11M39.00S,1,1610612756,PHX,2207,Johnson,J. Johnson,0,0,0,,0,0,0,0,v,Johnson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
5,4,PT11M30.00S,1,1610612756,PHX,2405,Stoudemire,A. Stoudemire,12,10,2,Missed,1,0,0,0,v,MISS Stoudemire 2' Jump Shot,Missed Shot,Jump Shot,0,0
6,5,PT11M28.00S,1,1610612756,PHX,1890,Marion,S. Marion,0,0,0,,0,0,0,0,v,Marion REBOUND (Off:1 Def:0),Rebound,Unknown,0,0
7,6,PT11M25.00S,1,1610612756,PHX,1890,Marion,S. Marion,0,0,0,Missed,1,0,0,0,v,MISS Marion  Layup,Missed Shot,Layup Shot,0,0
8,7,PT11M24.00S,1,1610612759,SAS,1737,Mohammed,N. Mohammed,0,0,0,,0,0,0,0,h,Mohammed REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
9,8,PT11M11.00S,1,1610612759,SAS,2225,Parker,T. Parker,-52,53,7,Missed,1,0,0,0,h,MISS Parker 7' Jump Shot,Missed Shot,Jump Shot,0,0
10,9,PT11M09.00S,1,1610612756,PHX,2207,Johnson,J. Johnson,0,0,0,,0,0,0,0,v,Johnson REBOUND (Off:0 Def:2),Rebound,Unknown,0,0
11,10,PT11M03.00S,1,1610612756,PHX,2047,Richardson,Q. Richardson,-225,17,0,Made,1,0,3,3,v,Richardson  3PT Jump Shot (3 PTS) (Nash 1 AST),Made Shot,Jump Shot,0,0
12,11,PT10M42.00S,1,1610612756,PHX,2207,Johnson,J. Johnson,0,0,0,,0,0,0,0,v,Johnson S.FOUL (P1.T1),Foul,Shooting,0,0
13,12,PT10M42.00S,1,1610612759,SAS,1495,Duncan,T. Duncan,0,0,0,,0,0,0,0,h,MISS Duncan Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0
14,13,PT10M42.00S,1,0,,1610612759,,,0,0,0,,0,0,0,0,h,SPURS Rebound,Rebound,Normal Rebound,0,0
15,14,PT10M42.00S,1,1610612759,SAS,1495,Duncan,T. Duncan,0,0,0,,0,1,3,4,h,Duncan Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0
16,15,PT10M27.00S,1,1610612756,PHX,2207,Johnson,J. Johnson,49,171,18,Made,1,1,5,6,v,Johnson 18' Jump Shot (2 PTS),Made Shot,Jump Shot,0,0
17,16,PT10M10.00S,1,1610612759,SAS,1495,Duncan,T. Duncan,0,0,0,,0,0,0,0,h,Duncan Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0
18,16,PT10M10.00S,1,1610612756,PHX,2207,Johnson,J. Johnson,0,0,0,,0,0,0,0,v,Johnson STEAL (1 STL),,,0,0
19,17,PT10M03.00S,1,1610612756,PHX,2405,Stoudemire,A. Stoudemire,0,7,1,Made,1,1,7,8,v,Stoudemire 1' Dunk (2 PTS) (Nash 2 AST),Made Shot,Dunk Shot,0,0
20,18,PT10M00.00S,1,0,,1610612759,,,0,0,0,,0,0,0,0,h,SPURS Timeout: Regular (Full 1 Short 0),Timeout,Regular,0,0
21,19,PT09M40.00S,1,1610612759,SAS,2225,Parker,T. Parker,-13,7,1,Made,1,3,7,10,h,Parker 1' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,0,0
22,20,PT09M25.00S,1,1610612756,PHX,2047,Richardson,Q. Richardson,210,114,24,Missed,1,0,0,0,v,MISS Richardson 24' 3PT Jump Shot,Missed Shot,Jump Shot,0,0
23,21,PT09M23.00S,1,1610612759,SAS,1938,Ginobili,M. Ginobili,0,0,0,,0,0,0,0,h,Ginobili REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
24,22,PT09M22.00S,1,1610612756,PHX,2405,Stoudemire,A. Stoudemire,0,0,0,,0,0,0,0,v,Stoudemire P.FOUL (P1.T2),Foul,Personal,0,0
25,23,PT09M05.00S,1,1610612759,SAS,2225,Parker,T. Parker,-3,8,1,Made,1,5,7,12,h,Parker 1' Layup (4 PTS),Made Shot,Layup Shot,0,0
26,24,PT08M50.00S,1,1610612759,SAS,1737,Mohammed,N. Mohammed,0,0,0,,0,0,0,0,h,Mohammed S.FOUL (P1.T1),Foul,Shooting,0,0
27,25,PT08M50.00S,1,1610612756,PHX,2405,Stoudemire,A. Stoudemire,0,0,0,,0,5,8,13,v,Stoudemire Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0
28,26,PT08M50.00S,1,1610612756,PHX,2405,Stoudemire,A. Stoudemire,0,0,0,,0,5,9,14,v,Stoudemire Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0
29,27,PT08M28.00S,1,1610612759,SAS,1477,Bowen,B. Bowen,5,10,1,Missed,1,0,0,0,h,MISS Bowen 1' Reverse Layup,Missed Shot,Reverse Layup Shot,0,0
30,29,PT08M26.00S,1,1610612759,SAS,1495,Duncan,T. Duncan,0,0,0,,0,0,0,0,h,Duncan REBOUND (Off:1 Def:0),Rebound,Unknown,0,0
31,28,PT08M26.00S,1,1610612759,SAS,1495,Duncan,T. Duncan,-10,5,1,Missed,1,0,0,0,h,MISS Duncan 1' Layup,Missed Shot,Layup Shot,0,0
32,28,PT08M26.00S,1,1610612756,PHX,1890,Marion,S. Marion,0,0,0,,0,0,0,0,v,Marion BLOCK (1 BLK),,,0,0
33,30,PT08M25.00S,1,1610612759,SAS,1495,Duncan,T. Duncan,0,0,0,,0,0,0,0,h,Duncan REBOUND (Off:2 Def:0),Rebound,Unknown,0,0
34,31,PT08M24.00S,1,1610612756,PHX,2405,Stoudemire,A. Stoudemire,0,0,0,,0,0,0,0,v,Stoudemire S.FOUL (P2.T3),Foul,Shooting,0,0
35,32,PT08M24.00S,1,1610612756,PHX,2405,Stoudemire,A. Stoudemire,0,0,0,,0,0,0,0,v,SUB: Hunter FOR Stoudemire,Substitution,,0,0
36,33,PT08M24.00S,1,1610612759,SAS,1495,Duncan,T. Duncan,0,0,0,,0,0,0,0,h,MISS Duncan Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0
37,34,PT08M24.00S,1,0,,1610612759,,,0,0,0,,0,0,0,0,h,SPURS Rebound,Rebound,Normal Rebound,0,0
38,35,PT08M24.00S,1,1610612759,SAS,1495,Duncan,T. Duncan,0,0,0,,0,0,0,0,h,MISS Duncan Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0
39,36,PT08M23.00S,1,1610612759,SAS,1737,Mohammed,N. Mohammed,0,0,0,,0,0,0,0,h,Mohammed REBOUND (Off:1 Def:1),Rebound,Unknown,0,0
40,37,PT08M12.00S,1,1610612759,SAS,2225,Parker,T. Parker,123,214,25,Missed,1,0,0,0,h,MISS Parker 25' 3PT Jump Shot,Missed Shot,Jump Shot,0,0
41,38,PT08M10.00S,1,1610612756,PHX,2047,Richardson,Q. Richardson,0,0,0,,0,0,0,0,v,Richardson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
42,39,PT08M05.00S,1,1610612756,PHX,2207,Johnson,J. Johnson,-233,7,0,Missed,1,0,0,0,v,MISS Johnson  3PT Jump Shot,Missed Shot,Jump Shot,0,0
43,40,PT08M03.00S,1,1610612759,SAS,2225,Parker,T. Parker,0,0,0,,0,0,0,0,h,Parker REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
44,41,PT07M50.00S,1,1610612759,SAS,1477,Bowen,B. Bowen,-23,13,3,Missed,1,0,0,0,h,MISS Bowen 3' Layup,Missed Shot,Layup Shot,0,0
45,41,PT07M50.00S,1,1610612756,PHX,2212,Hunter,S. Hunter,0,0,0,,0,0,0,0,v,Hunter BLOCK (1 BLK),,,0,0
46,42,PT07M48.00S,1,0,,1610612759,,,0,0,0,,0,0,0,0,h,SPURS Rebound,Rebound,Unknown,0,0
47,43,PT07M43.00S,1,1610612759,SAS,1495,Duncan,T. Duncan,38,25,5,Missed,1,0,0,0,h,MISS Duncan 5' Jump Shot,Missed Shot,Jump Shot,0,0
48,44,PT07M41.00S,1,1610612759,SAS,1737,Mohammed,N. Mohammed,0,0,0,,0,0,0,0,h,Mohammed REBOUND (Off:2 Def:1),Rebound,Unknown,0,0
49,45,PT07M39.00S,1,1610612759,SAS,1737,Mohammed,N. Mohammed,-15,33,4,Missed,1,0,0,0,h,MISS Mohammed 4' Jump Shot,Missed Shot,Jump Shot,0,0
