actionId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue
1,0,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (6:09 PM EST),period,start,0,0
2,1,PT12M00.00S,1,1610612765,DET,2198,Brown,K. Brown,0,0,0,,0,0,0,0,h,Jump Ball Brown vs. Collins: Tip to Wallace,Jump Ball,,0,0
3,2,PT11M43.00S,1,1610612765,DET,2198,Brown,K. Brown,0,0,0,Made,1,2,0,2,h,Brown  Layup (2 PTS) (Hamilton 1 AST),Made Shot,Layup Shot,0,0
4,3,PT11M22.00S,1,1610612750,MIN,2744,Jefferson,A. Jefferson,0,0,0,Missed,1,0,0,0,v,MISS Jefferson  Layup,Missed Shot,Layup Shot,0,0
5,4,PT11M21.00S,1,1610612765,DET,2198,Brown,K. Brown,0,0,0,,0,0,0,0,h,Brown REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
6,5,PT11M05.00S,1,1610612765,DET,947,Iverson,A. Iverson,-183,11,18,Made,1,4,0,4,h,Iverson 18' Jump Shot (2 PTS) (Brown 1 AST),Made Shot,Jump Shot,0,0
7,6,PT10M48.00S,1,1610612750,MIN,2744,Jefferson,A. Jefferson,-119,44,13,Made,1,4,2,6,v,Jefferson 13' Turnaround Jump Shot (2 PTS) (Foye 1 AST),Made Shot,Turnaround Jump Shot,0,0
8,7,PT10M27.00S,1,1610612765,DET,2198,Brown,K. Brown,0,0,0,,0,0,0,0,h,Brown 3 Second Violation Turnover (P1.T1),Turnover,3 Second Violation,0,0
9,8,PT10M17.00S,1,1610612750,MIN,2215,Collins,J. Collins,177,23,18,Missed,1,0,0,0,v,MISS Collins 18' Jump Shot,Missed Shot,Jump Shot,0,0
10,9,PT10M16.00S,1,1610612765,DET,2419,Prince,T. Prince,0,0,0,,0,0,0,0,h,Prince REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
11,10,PT10M08.00S,1,1610612765,DET,2419,Prince,T. Prince,0,0,0,,0,0,0,0,h,Prince Bad Pass Turnover (P1.T2),Turnover,Bad Pass,0,0
12,11,PT09M57.00S,1,1610612750,MIN,2744,Jefferson,A. Jefferson,-128,50,14,Made,1,4,4,8,v,Jefferson 14' Jump Shot (4 PTS) (Foye 2 AST),Made Shot,Jump Shot,0,0
13,12,PT09M46.00S,1,1610612765,DET,947,Iverson,A. Iverson,0,0,0,,0,0,0,0,h,Iverson Bad Pass Turnover (P1.T3),Turnover,Bad Pass,0,0
