actionId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue
1,0,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (8:13 PM EST),period,start,0,0
2,1,PT12M00.00S,1,1610612740,NOH,2199,Chandler,T. Chandler,0,0,0,,0,0,0,0,h,Jump Ball Chandler vs. Mutombo: Tip to Scola,Jump Ball,,0,0
3,2,PT11M41.00S,1,1610612745,HOU,1897,World Peace,M. World Peace,-128,216,25,Missed,1,0,0,0,v,MISS World Peace 25' 3PT Jump Shot,Missed Shot,Jump Shot,0,0
4,3,PT11M40.00S,1,1610612740,NOH,2561,West,D. West,0,0,0,,0,0,0,0,h,West REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
5,4,PT11M20.00S,1,1610612740,NOH,101108,Paul,C. Paul,6,67,7,Missed,1,0,0,0,h,MISS Paul 7' Jump Shot,Missed Shot,Jump Shot,0,0
6,6,PT11M19.00S,1,1610612740,NOH,2199,Chandler,T. Chandler,0,0,0,,0,0,0,0,h,Chandler REBOUND (Off:1 Def:0),Rebound,Unknown,0,0
7,5,PT11M19.00S,1,1610612740,NOH,2199,Chandler,T. Chandler,0,0,0,Missed,1,0,0,0,h,MISS Chandler  Tip Shot,Missed Shot,Tip Shot,0,0
8,7,PT11M18.00S,1,1610612745,HOU,1897,World Peace,M. World Peace,0,0,0,,0,0,0,0,v,World Peace REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
9,8,PT11M07.00S,1,1610612745,HOU,2449,Scola,L. Scola,0,0,0,Made,1,0,2,2,v,Scola  Layup (2 PTS) (Brooks 1 AST),Made Shot,Layup Shot,0,0
10,9,PT10M52.00S,1,1610612740,NOH,2446,Butler,R. Butler,2,72,7,Made,1,2,2,4,h,Butler 7' Fadeaway Jumper (2 PTS),Made Shot,Fadeaway Jump Shot,0,0
11,10,PT10M41.00S,1,1610612745,HOU,201166,Brooks,A. Brooks,0,0,0,,0,0,0,0,v,Brooks Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0
12,10,PT10M41.00S,1,1610612740,NOH,101108,Paul,C. Paul,0,0,0,,0,0,0,0,h,Paul STEAL (1 STL),,,0,0
13,11,PT10M36.00S,1,1610612740,NOH,2446,Butler,R. Butler,195,1,20,Made,1,4,2,6,h,Butler 20' Jump Shot (4 PTS) (Paul 1 AST),Made Shot,Jump Shot,0,0
14,12,PT10M17.00S,1,1610612745,HOU,2449,Scola,L. Scola,51,61,8,Missed,1,0,0,0,v,MISS Scola 8' Hook Shot,Missed Shot,Hook Shot,0,0
15,13,PT10M16.00S,1,1610612740,NOH,2561,West,D. West,0,0,0,,0,0,0,0,h,West REBOUND (Off:0 Def:2),Rebound,Unknown,0,0
16,14,PT10M08.00S,1,1610612740,NOH,201153,Wright,J. Wright,0,0,0,,0,0,0,0,h,Wright Lost Ball Turnover (P1.T1),Turnover,Lost Ball,0,0
17,14,PT10M08.00S,1,1610612745,HOU,1897,World Peace,M. World Peace,0,0,0,,0,0,0,0,v,World Peace STEAL (1 STL),,,0,0
18,15,PT10M05.00S,1,1610612745,HOU,201166,Brooks,A. Brooks,0,0,0,Made,1,4,4,8,v,Brooks  Layup (2 PTS) (World Peace 1 AST),Made Shot,Layup Shot,0,0
19,16,PT09M37.00S,1,1610612740,NOH,201153,Wright,J. Wright,-30,39,5,Missed,1,0,0,0,h,MISS Wright 5' Jump Shot,Missed Shot,Jump Shot,0,0
20,16,PT09M37.00S,1,1610612745,HOU,87,Mutombo,D. Mutombo,0,0,0,,0,0,0,0,v,Mutombo BLOCK (1 BLK),,,0,0
21,17,PT09M34.00S,1,1610612740,NOH,2561,West,D. West,0,0,0,,0,0,0,0,h,West REBOUND (Off:1 Def:2),Rebound,Unknown,0,0
22,18,PT09M32.00S,1,1610612740,NOH,2561,West,D. West,59,118,13,Missed,1,0,0,0,h,MISS West 13' Jump Shot,Missed Shot,Jump Shot,0,0
23,19,PT09M31.00S,1,1610612745,HOU,1897,World Peace,M. World Peace,0,0,0,,0,0,0,0,v,World Peace REBOUND (Off:0 Def:2),Rebound,Unknown,0,0
24,20,PT09M18.00S,1,1610612745,HOU,201166,Brooks,A. Brooks,0,0,0,Made,1,4,6,10,v,Brooks  Driving Layup (4 PTS),Made Shot,Driving Layup Shot,0,0
25,21,PT08M57.00S,1,1610612740,NOH,2561,West,D. West,0,0,0,Made,1,6,6,12,h,West  Layup (2 PTS) (Butler 1 AST),Made Shot,Layup Shot,0,0
26,22,PT08M34.00S,1,1610612745,HOU,2449,Scola,L. Scola,0,0,0,,0,0,0,0,v,Scola Out of Bounds Lost Ball Turnover (P1.T2),Turnover,Out of Bounds Lost Ball Turnover,0,0
27,24,PT08M24.00S,1,1610612740,NOH,101108,Paul,C. Paul,-30,148,15,Made,1,8,6,14,h,Paul 15' Jump Shot (2 PTS),Made Shot,Jump Shot,0,0
28,25,PT08M03.00S,1,1610612745,HOU,2449,Scola,L. Scola,0,0,0,Made,1,8,8,16,v,Scola  Layup (4 PTS) (Battier 1 AST),Made Shot,Layup Shot,0,0
29,26,PT07M45.00S,1,1610612740,NOH,2199,Chandler,T. Chandler,0,0,0,Made,1,10,8,18,h,Chandler  Layup (2 PTS) (Paul 2 AST),Made Shot,Layup Shot,0,0
30,28,PT07M28.00S,1,1610612745,HOU,1897,World Peace,M. World Peace,-90,104,14,Missed,1,0,0,0,v,MISS World Peace 14' Jump Shot,Missed Shot,Jump Shot,0,0
31,29,PT07M27.00S,1,1610612740,NOH,201153,Wright,J. Wright,0,0,0,,0,0,0,0,h,Wright REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
32,30,PT07M21.00S,1,1610612740,NOH,201153,Wright,J. Wright,73,104,13,Made,1,12,8,20,h,Wright 13' Pullup Jump Shot (2 PTS),Made Shot,Pullup Jump shot,0,0
33,31,PT07M09.00S,1,1610612745,HOU,201166,Brooks,A. Brooks,215,116,24,Made,1,12,11,23,v,Brooks 24' 3PT Jump Shot (7 PTS),Made Shot,Jump Shot,0,0
34,32,PT06M59.00S,1,1610612740,NOH,101108,Paul,C. Paul,0,0,0,,0,0,0,0,h,Paul OFF.Foul (P1),Foul,Offensive,0,0
35,33,PT06M59.00S,1,1610612740,NOH,101108,Paul,C. Paul,0,0,0,,0,0,0,0,h,Paul Foul Turnover (P1.T2),Turnover,Foul,0,0
36,34,PT06M46.00S,1,1610612745,HOU,87,Mutombo,D. Mutombo,0,0,0,Missed,1,0,0,0,v,MISS Mutombo  Layup,Missed Shot,Layup Shot,0,0
37,36,PT06M45.00S,1,1610612745,HOU,2449,Scola,L. Scola,0,0,0,,0,0,0,0,v,Scola REBOUND (Off:1 Def:0),Rebound,Unknown,0,0
38,35,PT06M45.00S,1,1610612745,HOU,2449,Scola,L. Scola,0,0,0,Made,1,12,13,25,v,Scola  Tip Shot (6 PTS),Made Shot,Tip Shot,0,0
39,37,PT06M38.00S,1,1610612745,HOU,201166,Brooks,A. Brooks,0,0,0,,0,0,0,0,v,Brooks S.FOUL (P1.T1),Foul,Shooting,0,0
40,38,PT06M38.00S,1,1610612740,NOH,101108,Paul,C. Paul,0,0,0,,0,13,13,26,h,Paul Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0
41,40,PT06M38.00S,1,1610612740,NOH,101108,Paul,C. Paul,0,0,0,,0,14,13,27,h,Paul Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0
42,42,PT06M21.00S,1,1610612745,HOU,2449,Scola,L. Scola,155,15,16,Made,1,14,15,29,v,Scola 16' Jump Shot (8 PTS) (World Peace 2 AST),Made Shot,Jump Shot,0,0
43,43,PT06M08.00S,1,1610612740,NOH,201153,Wright,J. Wright,132,67,15,Missed,1,0,0,0,h,MISS Wright 15' Jump Shot,Missed Shot,Jump Shot,0,0
44,44,PT06M07.00S,1,1610612745,HOU,87,Mutombo,D. Mutombo,0,0,0,,0,0,0,0,v,Mutombo REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
45,45,PT05M53.00S,1,1610612745,HOU,201166,Brooks,A. Brooks,166,194,26,Missed,1,0,0,0,v,MISS Brooks 26' 3PT Jump Shot,Missed Shot,Jump Shot,0,0
46,46,PT05M53.00S,1,0,,1610612740,,,0,0,0,,0,0,0,0,h,HORNETS Rebound,Rebound,Unknown,0,0
47,48,PT05M53.00S,1,0,,1610612740,,,0,0,0,,0,0,0,0,h,HORNETS Timeout: Regular (Full 1 Short 0),Timeout,Regular,0,0
48,49,PT05M53.00S,1,1610612740,NOH,201153,Wright,J. Wright,0,0,0,,0,0,0,0,h,SUB: Posey FOR Wright,Substitution,,0,0
49,50,PT05M30.00S,1,1610612740,NOH,2561,West,D. West,0,88,9,Missed,1,0,0,0,h,MISS West 9' Jump Shot,Missed Shot,Jump Shot,0,0
50,51,PT05M29.00S,1,1610612745,HOU,2449,Scola,L. Scola,0,0,0,,0,0,0,0,v,Scola REBOUND (Off:1 Def:1),Rebound,Unknown,0,0
51,52,PT05M15.00S,1,1610612745,HOU,1897,World Peace,M. World Peace,-142,203,25,Missed,1,0,0,0,v,MISS World Peace 25' 3PT Jump Shot,Missed Shot,Jump Shot,0,0
52,53,PT05M14.00S,1,1610612745,HOU,87,Mutombo,D. Mutombo,0,0,0,,0,0,0,0,v,Mutombo REBOUND (Off:1 Def:1),Rebound,Unknown,0,0
53,54,PT05M05.00S,1,1610612745,HOU,201166,Brooks,A. Brooks,0,0,0,Made,1,14,17,31,v,Brooks  Driving Layup (9 PTS),Made Shot,Driving Layup Shot,0,0
54,55,PT04M46.00S,1,1610612740,NOH,2446,Butler,R. Butler,0,0,0,,0,0,0,0,h,Butler Bad Pass Turnover (P1.T3),Turnover,Bad Pass,0,0
55,55,PT04M46.00S,1,1610612745,HOU,2449,Scola,L. Scola,0,0,0,,0,0,0,0,v,Scola STEAL (1 STL),,,0,0
56,56,PT04M26.00S,1,1610612745,HOU,201166,Brooks,A. Brooks,0,0,0,Missed,1,0,0,0,v,MISS Brooks  Layup,Missed Shot,Layup Shot,0,0
57,56,PT04M26.00S,1,1610612740,NOH,2561,West,D. West,0,0,0,,0,0,0,0,h,West BLOCK (1 BLK),,,0,0
58,57,PT04M26.00S,1,0,,1610612745,,,0,0,0,,0,0,0,0,v,Rockets Rebound,Rebound,Unknown,0,0
59,58,PT04M24.00S,1,1610612745,HOU,2449,Scola,L. Scola,140,56,15,Missed,1,0,0,0,v,MISS Scola 15' Jump Shot,Missed Shot,Jump Shot,0,0
60,58,PT04M24.00S,1,1610612740,NOH,2561,West,D. West,0,0,0,,0,0,0,0,h,West BLOCK (2 BLK),,,0,0
61,59,PT04M22.00S,1,1610612740,NOH,2199,Chandler,T. Chandler,0,0,0,,0,0,0,0,h,Chandler REBOUND (Off:1 Def:1),Rebound,Unknown,0,0
62,60,PT04M00.00S,1,1610612740,NOH,1899,Posey,J. Posey,0,0,0,,0,0,0,0,h,Posey Lost Ball Turnover (P1.T4),Turnover,Lost Ball,0,0
63,60,PT04M00.00S,1,1610612745,HOU,2449,Scola,L. Scola,0,0,0,,0,0,0,0,v,Scola STEAL (2 STL),,,0,0
64,61,PT03M53.00S,1,1610612745,HOU,1897,World Peace,M. World Peace,-237,15,24,Missed,1,0,0,0,v,MISS World Peace 24' 3PT Jump Shot,Missed Shot,Jump Shot,0,0
65,62,PT03M52.00S,1,1610612740,NOH,2561,West,D. West,0,0,0,,0,0,0,0,h,West REBOUND (Off:1 Def:3),Rebound,Unknown,0,0
66,63,PT03M40.00S,1,1610612740,NOH,2561,West,D. West,70,175,19,Made,1,16,17,33,h,West 19' Jump Shot (4 PTS) (Paul 3 AST),Made Shot,Jump Shot,0,0
67,65,PT03M17.00S,1,1610612745,HOU,2203,Battier,S. Battier,196,145,24,Made,1,16,20,36,v,Battier 24' 3PT Jump Shot (3 PTS) (World Peace 3 AST),Made Shot,Jump Shot,0,0
68,66,PT02M56.00S,1,1610612740,NOH,101108,Paul,C. Paul,-106,101,15,Made,1,18,20,38,h,Paul 15' Jump Shot (6 PTS),Made Shot,Jump Shot,0,0
69,67,PT02M32.00S,1,1610612745,HOU,201166,Brooks,A. Brooks,0,0,0,,0,0,0,0,v,Brooks Lost Ball Turnover (P2.T3),Turnover,Lost Ball,0,0
70,67,PT02M32.00S,1,1610612740,NOH,101108,Paul,C. Paul,0,0,0,,0,0,0,0,h,Paul STEAL (2 STL),,,0,0
71,68,PT02M17.00S,1,0,,1610612745,,,0,0,0,,0,0,0,0,v,Rockets Timeout: Regular (Reg.1 Short 0),Timeout,Regular,0,0
72,70,PT02M17.00S,1,1610612745,HOU,87,Mutombo,D. Mutombo,0,0,0,,0,0,0,0,v,SUB: Lowry FOR Mutombo,Substitution,,0,0
73,71,PT02M17.00S,1,1610612745,HOU,201166,Brooks,A. Brooks,0,0,0,,0,0,0,0,v,SUB: Landry FOR Brooks,Substitution,,0,0
74,72,PT02M17.00S,1,1610612740,NOH,2199,Chandler,T. Chandler,0,0,0,,0,0,0,0,h,SUB: Marks FOR Chandler,Substitution,,0,0
75,73,PT02M06.00S,1,1610612740,NOH,2561,West,D. West,119,64,14,Missed,1,0,0,0,h,MISS West 14' Jump Shot,Missed Shot,Jump Shot,0,0
76,74,PT02M05.00S,1,1610612745,HOU,2449,Scola,L. Scola,0,0,0,,0,0,0,0,v,Scola REBOUND (Off:1 Def:2),Rebound,Unknown,0,0
77,75,PT01M50.00S,1,1610612745,HOU,1897,World Peace,M. World Peace,-51,104,12,Missed,1,0,0,0,v,MISS World Peace 12' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,0,0
78,76,PT01M48.00S,1,1610612740,NOH,101108,Paul,C. Paul,0,0,0,,0,0,0,0,h,Paul REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
79,77,PT01M37.00S,1,1610612740,NOH,101108,Paul,C. Paul,-43,170,18,Missed,1,0,0,0,h,MISS Paul 18' Jump Shot,Missed Shot,Jump Shot,0,0
80,78,PT01M36.00S,1,1610612740,NOH,101108,Paul,C. Paul,0,0,0,,0,0,0,0,h,Paul REBOUND (Off:1 Def:1),Rebound,Unknown,0,0
81,79,PT01M33.00S,1,1610612740,NOH,101108,Paul,C. Paul,0,0,0,Missed,1,0,0,0,h,MISS Paul  Layup,Missed Shot,Layup Shot,0,0
82,81,PT01M32.00S,1,1610612740,NOH,2561,West,D. West,0,0,0,,0,0,0,0,h,West REBOUND (Off:2 Def:3),Rebound,Unknown,0,0
83,80,PT01M32.00S,1,1610612740,NOH,2561,West,D. West,0,0,0,Made,1,20,20,40,h,West  Tip Shot (6 PTS),Made Shot,Tip Shot,0,0
84,82,PT01M15.00S,1,1610612745,HOU,201171,Landry,C. Landry,0,0,0,Missed,1,0,0,0,v,MISS Landry  Layup,Missed Shot,Layup Shot,0,0
85,82,PT01M15.00S,1,1610612740,NOH,1752,Marks,S. Marks,0,0,0,,0,0,0,0,h,Marks BLOCK (1 BLK),,,0,0
86,83,PT01M15.00S,1,1610612745,HOU,1897,World Peace,M. World Peace,0,0,0,,0,0,0,0,v,SUB: Wafer FOR World Peace,Substitution,,0,0
87,85,PT01M15.00S,1,1610612740,NOH,1752,Marks,S. Marks,0,0,0,,0,0,0,0,h,Jump Ball Marks vs. Landry: Tip to Paul,Jump Ball,,0,0
88,84,PT01M15.00S,1,0,,1610612740,,,0,0,0,,0,0,0,0,h,HORNETS Rebound,Rebound,Unknown,0,0
89,87,PT01M03.00S,1,1610612740,NOH,1752,Marks,S. Marks,0,0,0,Missed,1,0,0,0,h,MISS Marks  Dunk,Missed Shot,Dunk Shot,0,0
90,87,PT01M03.00S,1,1610612745,HOU,201171,Landry,C. Landry,0,0,0,,0,0,0,0,v,Landry BLOCK (1 BLK),,,0,0
91,88,PT00M59.90S,1,1610612740,NOH,2561,West,D. West,0,0,0,,0,0,0,0,h,West REBOUND (Off:3 Def:3),Rebound,Unknown,0,0
92,89,PT00M45.80S,1,1610612740,NOH,1752,Marks,S. Marks,0,0,0,Made,1,22,20,42,h,Marks  Layup (2 PTS) (Paul 4 AST),Made Shot,Layup Shot,0,0
