actionId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue
1,0,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (8:20 PM EST),period,start,0,0
2,1,PT12M00.00S,1,1610612741,CHI,201149,Noah,J. Noah,0,0,0,,0,0,0,0,h,Jump Ball Noah vs. Chandler: Tip to Rose,Jump Ball,,0,0
3,2,PT11M41.00S,1,1610612741,CHI,2736,Deng,L. Deng,6,45,5,Missed,1,0,0,0,h,MISS Deng 5' Jump Shot,Missed Shot,Jump Shot,0,0
4,3,PT11M40.00S,1,1610612752,NYK,2199,Chandler,T. Chandler,0,0,0,,0,0,0,0,v,Chandler REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
5,4,PT11M40.00S,1,1610612741,CHI,201149,Noah,J. Noah,0,0,0,,0,0,0,0,h,Noah Violation:Kicked Ball,Violation,Kicked Ball,0,0
6,5,PT11M22.00S,1,1610612752,NYK,2199,Chandler,T. Chandler,7,4,1,Made,1,0,2,2,v,Chandler 1' Dunk (2 PTS) (Anthony 1 AST),Made Shot,Dunk Shot,0,0
7,6,PT10M56.00S,1,1610612741,CHI,201565,Rose,D. Rose,108,230,25,Missed,1,0,0,0,h,MISS Rose 25' 3PT Jump Shot,Missed Shot,Jump Shot,0,0
8,7,PT10M54.00S,1,1610612752,NYK,2546,Anthony,C. Anthony,0,0,0,,0,0,0,0,v,Anthony REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
9,8,PT10M49.00S,1,1610612752,NYK,101109,Felton,R. Felton,209,134,25,Missed,1,0,0,0,v,MISS Felton 25' 3PT Jump Shot,Missed Shot,Jump Shot,0,0
10,10,PT10M47.00S,1,1610612752,NYK,2199,Chandler,T. Chandler,0,0,0,,0,0,0,0,v,Chandler REBOUND (Off:1 Def:1),Rebound,Unknown,0,0
11,9,PT10M47.00S,1,1610612752,NYK,2199,Chandler,T. Chandler,3,-3,0,Missed,1,0,0,0,v,MISS Chandler  Layup,Missed Shot,Layup Shot,0,0
12,11,PT10M46.00S,1,1610612741,CHI,2430,Boozer,C. Boozer,0,0,0,,0,0,0,0,h,Boozer REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
13,12,PT10M40.00S,1,1610612741,CHI,201565,Rose,D. Rose,13,11,2,Missed,1,0,0,0,h,MISS Rose 2' Layup,Missed Shot,Layup Shot,0,0
14,13,PT10M39.00S,1,1610612752,NYK,2546,Anthony,C. Anthony,0,0,0,,0,0,0,0,v,Anthony REBOUND (Off:0 Def:2),Rebound,Unknown,0,0
15,14,PT10M25.00S,1,1610612752,NYK,200745,Bargnani,A. Bargnani,21,242,24,Missed,1,0,0,0,v,MISS Bargnani 24' 3PT Jump Shot,Missed Shot,Jump Shot,0,0
16,15,PT10M22.00S,1,1610612741,CHI,202710,Butler,J. Butler,0,0,0,,0,0,0,0,h,Butler REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
17,16,PT10M07.00S,1,1610612741,CHI,2430,Boozer,C. Boozer,95,121,15,Made,1,2,2,4,h,Boozer 15' Jump Shot (2 PTS),Made Shot,Jump Shot,0,0
