actionId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue
1,0,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:11 PM EST),period,start,0,0
2,1,PT12M00.00S,1,1610612754,IND,201579,Hibbert,R. Hibbert,0,0,0,,0,,,0,h,,Jump Ball,,1,0
3,277,PT12M00.00S,1,1610612754,IND,201579,Hibbert,R. Hibbert,0,0,0,,0,,,0,h,Hibbert Violation:Jump Ball,Violation,Jump Ball,0,0
4,2,PT11M42.00S,1,1610612761,TOR,201942,DeRozan,D. DeRozan,0,0,0,,0,,,0,v,DeRozan Out of Bounds Lost Ball Turnover (P1.T1),Turnover,Out of Bounds Lost Ball Turnover,1,0
5,3,PT11M18.00S,1,1610612754,IND,201228,Watson,C. Watson,-235,6,24,Made,1,3,0,3,h,Watson 24' 3PT Jump Shot (3 PTS),Made Shot,Jump Shot,1,0
6,4,PT11M02.00S,1,1610612754,IND,2561,West,D. West,0,0,0,,0,,,0,h,West Violation:Kicked Ball,Violation,Kicked Ball,0,0
7,5,PT10M56.00S,1,1610612761,TOR,201942,DeRozan,D. DeRozan,-49,200,21,Missed,1,,,0,v,MISS DeRozan 21' Jump Shot,Missed Shot,Jump Shot,1,0
8,6,PT10M55.00S,1,1610612754,IND,201155,Stuckey,R. Stuckey,0,0,0,,0,,,0,h,Stuckey REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
9,7,PT10M42.00S,1,1610612754,IND,201155,Stuckey,R. Stuckey,17,104,11,Made,1,5,0,5,h,Stuckey 11' Pullup Jump Shot (2 PTS) (Watson 1 AST),Made Shot,Pullup Jump shot,1,0
10,9,PT10M16.00S,1,1610612761,TOR,101161,Johnson,A. Johnson,1,108,11,Missed,1,,,0,v,MISS A. Johnson 11' Jump Shot,Missed Shot,Jump Shot,1,0
11,9,PT10M16.00S,1,1610612754,IND,201579,Hibbert,R. Hibbert,0,0,0,,0,,,0,h,Hibbert BLOCK (1 BLK),,,1,0
12,10,PT10M15.00S,1,1610612754,IND,2561,West,D. West,0,0,0,,0,,,0,h,West REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
13,11,PT10M13.00S,1,1610612754,IND,201155,Stuckey,R. Stuckey,20,20,3,Made,1,7,0,7,h,Stuckey 3' Layup (4 PTS) (West 1 AST),Made Shot,Layup Shot,1,0
14,12,PT09M55.00S,1,1610612761,TOR,202349,Vasquez,G. Vasquez,45,244,25,Missed,1,,,0,v,MISS Vasquez 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,0
15,13,PT09M54.00S,1,1610612754,IND,203524,Hill,S. Hill,0,0,0,,0,,,0,h,S. Hill REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
16,14,PT09M41.00S,1,1610612754,IND,203524,Hill,S. Hill,-4,151,15,Missed,1,,,0,h,MISS S. Hill 15' Jump Shot,Missed Shot,Jump Shot,1,0
17,15,PT09M41.00S,1,0,,1610612754,,,0,0,0,,0,,,0,h,PACERS Rebound,Rebound,Unknown,0,0
18,16,PT09M41.00S,1,1610612761,TOR,202685,Valanciunas,J. Valanciunas,0,0,0,,0,,,0,v,Valanciunas L.B.FOUL (P1.T1),Foul,Loose Ball,1,0
19,17,PT09M34.00S,1,1610612754,IND,2561,West,D. West,130,53,14,Missed,1,,,0,h,MISS West 14' Jump Shot,Missed Shot,Jump Shot,1,0
20,18,PT09M33.00S,1,1610612761,TOR,201942,DeRozan,D. DeRozan,0,0,0,,0,,,0,v,DeRozan REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
21,19,PT09M24.00S,1,1610612761,TOR,201942,DeRozan,D. DeRozan,0,0,0,,0,,,0,v,DeRozan Bad Pass Turnover (P2.T2),Turnover,Bad Pass,1,0
22,19,PT09M24.00S,1,1610612754,IND,203524,Hill,S. Hill,0,0,0,,0,,,0,h,S. Hill STEAL (1 STL),,,1,0
23,20,PT09M17.00S,1,1610612754,IND,201155,Stuckey,R. Stuckey,201,7,20,Missed,1,,,0,h,MISS Stuckey 20' Jump Shot,Missed Shot,Jump Shot,1,0
24,21,PT09M15.00S,1,0,,1610612761,,,0,0,0,,0,,,0,v,Raptors Rebound,Rebound,Unknown,0,0
25,22,PT09M03.00S,1,1610612761,TOR,200768,Lowry,K. Lowry,-4,266,27,Missed,1,,,0,v,MISS Lowry 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,0
26,23,PT09M02.00S,1,1610612754,IND,203524,Hill,S. Hill,0,0,0,,0,,,0,h,S. Hill REBOUND (Off:0 Def:2),Rebound,Unknown,1,0
27,24,PT08M51.00S,1,1610612754,IND,201579,Hibbert,R. Hibbert,-10,45,5,Made,1,9,0,9,h,Hibbert 5' Hook Shot (2 PTS) (West 2 AST),Made Shot,Hook Shot,1,0
28,25,PT08M44.00S,1,0,,1610612761,,,0,0,0,,0,,,0,v,Raptors Timeout: Regular (Reg.1 Short 0),Timeout,Regular,0,0
29,27,PT08M37.00S,1,1610612761,TOR,200768,Lowry,K. Lowry,-123,167,21,Made,1,9,2,11,v,Lowry 21' Jump Shot (2 PTS) (Vasquez 1 AST),Made Shot,Jump Shot,1,0
30,28,PT08M21.00S,1,1610612754,IND,201579,Hibbert,R. Hibbert,-21,121,12,Missed,1,,,0,h,MISS Hibbert 12' Floating Jump Shot,Missed Shot,Floating Jump shot,1,0
31,29,PT08M20.00S,1,1610612761,TOR,101161,Johnson,A. Johnson,0,0,0,,0,,,0,v,A. Johnson REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
32,30,PT08M14.00S,1,1610612761,TOR,202685,Valanciunas,J. Valanciunas,-8,77,8,Missed,1,,,0,v,MISS Valanciunas 8' Floating Jump Shot,Missed Shot,Floating Jump shot,1,0
33,31,PT08M13.00S,1,1610612754,IND,201579,Hibbert,R. Hibbert,0,0,0,,0,,,0,h,Hibbert REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
34,32,PT08M01.00S,1,1610612754,IND,201579,Hibbert,R. Hibbert,29,6,3,Missed,1,,,0,h,MISS Hibbert 3' Layup,Missed Shot,Layup Shot,1,0
35,33,PT08M01.00S,1,1610612754,IND,201579,Hibbert,R. Hibbert,0,0,0,,0,,,0,h,Hibbert REBOUND (Off:1 Def:1),Rebound,Unknown,1,0
