actionId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue
1,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:41 PM EST),period,start,0,0
2,4,PT12M00.00S,1,1610612761,TOR,1630173,Achiuwa,P. Achiuwa,0,0,0,,0,,,0,h,Jump Ball Achiuwa vs. Vucevic: Tip to Barnes,Jump Ball,,1,0
3,7,PT11M45.00S,1,1610612761,TOR,1628384,Anunoby,O. Anunoby,0,0,0,,0,,,0,h,Anunoby Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1,0
4,7,PT11M45.00S,1,1610612741,CHI,202696,Vucevic,N. Vucevic,0,0,0,,0,,,0,v,Vucevic STEAL (1 STL),,,1,0
5,9,PT11M37.00S,1,1610612741,CHI,203897,LaVine,Z. LaVine,-238,31,24,Missed,1,,,0,v,MISS LaVine 24' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,0
6,10,PT11M33.00S,1,1610612761,TOR,1630173,Achiuwa,P. Achiuwa,0,0,0,,0,,,0,h,Achiuwa REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
7,11,PT11M23.00S,1,1610612761,TOR,1630173,Achiuwa,P. Achiuwa,-47,41,6,Missed,1,,,0,h,MISS Achiuwa 6' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,0
8,12,PT11M21.00S,1,1610612741,CHI,203897,LaVine,Z. LaVine,0,0,0,,0,,,0,v,LaVine REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
9,13,PT11M14.00S,1,1610612741,CHI,202696,Vucevic,N. Vucevic,4,34,3,Missed,1,,,0,v,MISS Vucevic 3' Driving Hook Shot,Missed Shot,Driving Hook Shot,1,0
10,14,PT11M12.00S,1,1610612761,TOR,1628384,Anunoby,O. Anunoby,0,0,0,,0,,,0,h,Anunoby REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
11,15,PT10M57.00S,1,1610612761,TOR,1630567,Barnes,S. Barnes,13,75,8,Made,1,2,0,2,h,Barnes 8' Floating Jump Shot (2 PTS) (Anunoby 1 AST),Made Shot,Floating Jump shot,1,0
12,17,PT10M36.00S,1,1610612741,CHI,1630172,Williams,P. Williams,-5,83,8,Missed,1,,,0,v,MISS Williams 8' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,0
13,18,PT10M33.00S,1,1610612761,TOR,1630173,Achiuwa,P. Achiuwa,0,0,0,,0,,,0,h,Achiuwa REBOUND (Off:0 Def:2),Rebound,Unknown,1,0
14,19,PT10M22.00S,1,1610612761,TOR,1629018,Trent Jr.,G. Trent Jr.,-36,257,26,Made,1,5,0,5,h,Trent Jr. 26' 3PT Step Back Jump Shot (3 PTS) (VanVleet 1 AST),Made Shot,Step Back Jump shot,1,0
15,21,PT09M58.00S,1,1610612741,CHI,201942,DeRozan,D. DeRozan,-109,252,27,Made,1,5,3,8,v,DeRozan 27' 3PT Jump Shot (3 PTS) (LaVine 1 AST),Made Shot,Jump Shot,1,0
16,23,PT09M43.00S,1,1610612761,TOR,1628384,Anunoby,O. Anunoby,-21,4,2,Missed,1,,,0,h,MISS Anunoby 2' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,1,0
17,25,PT09M43.00S,1,0,,1610612741,,,0,0,0,,0,,,0,v,Bulls Rebound,Rebound,Unknown,0,0
18,27,PT09M36.00S,1,1610612741,CHI,1628366,Ball,L. Ball,92,244,26,Made,1,5,6,11,v,Ball 26' 3PT Pullup Jump Shot (3 PTS) (LaVine 2 AST),Made Shot,Pullup Jump shot,1,0
19,28,PT09M16.00S,1,1610612761,TOR,1629018,Trent Jr.,G. Trent Jr.,129,121,18,Made,1,7,6,13,h,Trent Jr. 18' Jump Shot (5 PTS) (Anunoby 2 AST),Made Shot,Jump Shot,1,0
20,31,PT09M03.00S,1,1610612741,CHI,1628366,Ball,L. Ball,-138,94,17,Missed,1,,,0,v,MISS Ball 17' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,0
21,32,PT09M00.00S,1,1610612761,TOR,1627832,VanVleet,F. VanVleet,0,0,0,,0,,,0,h,VanVleet REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
22,33,PT08M56.00S,1,1610612761,TOR,1629018,Trent Jr.,G. Trent Jr.,-77,253,26,Missed,1,,,0,h,MISS Trent Jr. 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,1,0
23,34,PT08M54.00S,1,1610612741,CHI,201942,DeRozan,D. DeRozan,0,0,0,,0,,,0,v,DeRozan REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
24,35,PT08M47.00S,1,1610612741,CHI,201942,DeRozan,D. DeRozan,-27,94,10,Missed,1,,,0,v,MISS DeRozan 10' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,0
25,36,PT08M43.00S,1,1610612761,TOR,1630173,Achiuwa,P. Achiuwa,0,0,0,,0,,,0,h,Achiuwa REBOUND (Off:0 Def:3),Rebound,Unknown,1,0
26,37,PT08M34.00S,1,1610612761,TOR,1628384,Anunoby,O. Anunoby,-178,172,25,Missed,1,,,0,h,MISS Anunoby 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,0
27,38,PT08M29.00S,1,1610612741,CHI,201942,DeRozan,D. DeRozan,0,0,0,,0,,,0,v,DeRozan REBOUND (Off:0 Def:2),Rebound,Unknown,1,0
28,39,PT08M18.00S,1,1610612741,CHI,1628366,Ball,L. Ball,-201,174,27,Missed,1,,,0,v,MISS Ball 27' 3PT Jump Shot,Missed Shot,Jump Shot,1,0
29,40,PT08M15.00S,1,1610612761,TOR,1628384,Anunoby,O. Anunoby,0,0,0,,0,,,0,h,Anunoby REBOUND (Off:0 Def:2),Rebound,Unknown,1,0
30,41,PT08M04.00S,1,1610612761,TOR,1629018,Trent Jr.,G. Trent Jr.,172,-11,17,Made,1,9,6,15,h,Trent Jr. 17' Step Back Jump Shot (7 PTS) (Achiuwa 1 AST),Made Shot,Step Back Jump shot,1,0
31,43,PT08M03.00S,1,0,,1610612741,,,0,0,0,,0,,,0,v,Bulls Timeout: Regular (Reg.1 Short 0),Timeout,Regular,0,0
32,44,PT07M51.00S,1,1610612741,CHI,202696,Vucevic,N. Vucevic,44,67,8,Made,1,9,8,17,v,Vucevic 8' Hook Shot (2 PTS) (Ball 1 AST),Made Shot,Hook Shot,1,0
33,46,PT07M28.00S,1,1610612761,TOR,1630173,Achiuwa,P. Achiuwa,-2,37,4,Made,1,11,8,19,h,Achiuwa 4' Turnaround Hook Shot (2 PTS) (VanVleet 2 AST),Made Shot,Turnaround Hook Shot,1,0
34,48,PT07M11.00S,1,1610612741,CHI,201942,DeRozan,D. DeRozan,69,46,8,Missed,1,,,0,v,MISS DeRozan 8' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,0
35,49,PT07M09.00S,1,1610612761,TOR,1630567,Barnes,S. Barnes,0,0,0,,0,,,0,h,Barnes REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
36,50,PT07M05.00S,1,1610612761,TOR,1630567,Barnes,S. Barnes,0,0,0,,0,,,0,h,Barnes Bad Pass Turnover (P1.T2),Turnover,Bad Pass,1,0
37,50,PT07M05.00S,1,1610612741,CHI,1628366,Ball,L. Ball,0,0,0,,0,,,0,v,Ball STEAL (1 STL),,,1,0
38,52,PT06M58.00S,1,1610612741,CHI,201942,DeRozan,D. DeRozan,-69,126,14,Made,1,11,10,21,v,DeRozan 14' Pullup Jump Shot (5 PTS),Made Shot,Pullup Jump shot,1,0
39,53,PT06M58.00S,1,1610612761,TOR,1630567,Barnes,S. Barnes,0,0,0,,0,,,0,h,Barnes S.FOUL (P1.T1) (J.Williams),Foul,Shooting,1,0
40,55,PT06M58.00S,1,1610612741,CHI,201942,DeRozan,D. DeRozan,0,0,0,,0,11,11,22,v,DeRozan Free Throw 1 of 1 (6 PTS),Free Throw,Free Throw 1 of 1,1,0
41,56,PT06M38.00S,1,1610612761,TOR,1630173,Achiuwa,P. Achiuwa,9,31,3,Missed,1,,,0,h,MISS Achiuwa 3' Alley Oop Layup,Missed Shot,Alley Oop Layup shot,1,0
42,57,PT06M36.00S,1,1610612761,TOR,1627832,VanVleet,F. VanVleet,0,0,0,,0,,,0,h,VanVleet REBOUND (Off:1 Def:1),Rebound,Unknown,1,0
43,58,PT06M36.00S,1,1610612761,TOR,1628384,Anunoby,O. Anunoby,-205,158,26,Missed,1,,,0,h,MISS Anunoby 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,0
44,59,PT06M34.00S,1,1610612741,CHI,202696,Vucevic,N. Vucevic,0,0,0,,0,,,0,v,Vucevic REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
45,60,PT06M28.00S,1,1610612741,CHI,201942,DeRozan,D. DeRozan,-51,62,8,Missed,1,,,0,v,MISS DeRozan 8' Floating Jump Shot,Missed Shot,Floating Jump shot,1,0
46,61,PT06M25.00S,1,0,,1610612741,,,0,0,0,,0,,,0,v,Bulls Rebound,Rebound,Unknown,0,0
47,63,PT06M19.00S,1,1610612741,CHI,202696,Vucevic,N. Vucevic,2,50,5,Missed,1,,,0,v,MISS Vucevic 5' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,1,0
48,64,PT06M16.00S,1,1610612761,TOR,1628384,Anunoby,O. Anunoby,0,0,0,,0,,,0,h,Anunoby REBOUND (Off:0 Def:3),Rebound,Unknown,1,0
49,65,PT06M09.00S,1,1610612761,TOR,1629018,Trent Jr.,G. Trent Jr.,-222,116,25,Missed,1,,,0,h,MISS Trent Jr. 25' 3PT Jump Shot,Missed Shot,Jump Shot,1,0
50,66,PT06M06.00S,1,1610612741,CHI,202696,Vucevic,N. Vucevic,0,0,0,,0,,,0,v,Vucevic REBOUND (Off:0 Def:2),Rebound,Unknown,1,0
51,67,PT05M56.00S,1,1610612741,CHI,201942,DeRozan,D. DeRozan,238,0,24,Missed,1,,,0,v,MISS DeRozan 24' 3PT Jump Shot,Missed Shot,Jump Shot,1,0
52,68,PT05M52.00S,1,1610612761,TOR,1630173,Achiuwa,P. Achiuwa,0,0,0,,0,,,0,h,Achiuwa REBOUND (Off:0 Def:4),Rebound,Unknown,1,0
53,69,PT05M42.00S,1,1610612761,TOR,1630173,Achiuwa,P. Achiuwa,11,0,1,Missed,1,,,0,h,MISS Achiuwa 1' Alley Oop Layup,Missed Shot,Alley Oop Layup shot,1,0
54,70,PT05M39.00S,1,1610612741,CHI,201942,DeRozan,D. DeRozan,0,0,0,,0,,,0,v,DeRozan REBOUND (Off:0 Def:3),Rebound,Unknown,1,0
55,71,PT05M25.00S,1,1610612741,CHI,203897,LaVine,Z. LaVine,7,47,5,Missed,1,,,0,v,MISS LaVine 5' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,1,0
56,73,PT05M25.00S,1,0,,1610612761,,,0,0,0,,0,,,0,h,RAPTORS Rebound,Rebound,Unknown,0,0
57,75,PT05M25.00S,1,1610612761,TOR,1630173,Achiuwa,P. Achiuwa,0,0,0,,0,,,0,h,SUB: Birch FOR Achiuwa,Substitution,,0,0
58,76,PT05M25.00S,1,1610612741,CHI,201942,DeRozan,D. DeRozan,0,0,0,,0,,,0,v,SUB: Brown Jr. FOR DeRozan,Substitution,,0,0
59,77,PT05M25.00S,1,1610612741,CHI,1630172,Williams,P. Williams,0,0,0,,0,,,0,v,SUB: Green FOR Williams,Substitution,,0,0
60,81,PT05M11.00S,1,1610612761,TOR,1627832,VanVleet,F. VanVleet,159,47,17,Missed,1,,,0,h,MISS VanVleet 17' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,0
61,82,PT05M09.00S,1,1610612741,CHI,202696,Vucevic,N. Vucevic,0,0,0,,0,,,0,v,Vucevic REBOUND (Off:0 Def:3),Rebound,Unknown,1,0
62,83,PT05M01.00S,1,1610612741,CHI,1629750,Green,J. Green,-10,43,4,Missed,1,,,0,v,MISS Green 4' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,1,0
63,84,PT04M56.00S,1,1610612741,CHI,202696,Vucevic,N. Vucevic,0,0,0,,0,,,0,v,Vucevic REBOUND (Off:1 Def:3),Rebound,Unknown,1,0
