actionId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue
1,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:11 PM EST),period,start,0,0
2,4,PT12M00.00S,1,1610612754,IND,1626167,Turner,M. Turner,0,0,0,,0,,,0,h,Jump Ball Turner vs. Robinson: Tip to Sabonis,Jump Ball,,1,0
3,7,PT11M40.00S,1,1610612754,IND,1627747,LeVert,C. LeVert,-208,148,26,Missed,1,,,0,h,MISS LeVert 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,0
4,7,PT11M40.00S,1,1610612752,NYK,1629011,Robinson,M. Robinson,0,0,0,,0,,,0,v,Robinson BLOCK (1 BLK),,,1,0
5,9,PT11M40.00S,1,0,,1610612754,,,0,0,0,,0,,,0,h,PACERS Rebound,Rebound,Unknown,0,0
6,11,PT11M35.00S,1,1610612754,IND,1626167,Turner,M. Turner,-199,155,25,Made,1,3,0,3,h,Turner 25' 3PT Pullup Jump Shot (3 PTS) (Brogdon 1 AST),Made Shot,Pullup Jump shot,1,0
7,13,PT11M10.00S,1,1610612752,NYK,203944,Randle,J. Randle,237,82,25,Missed,1,,,0,v,MISS Randle 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,0
8,14,PT11M06.00S,1,1610612754,IND,1627763,Brogdon,M. Brogdon,0,0,0,,0,,,0,h,Brogdon REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
9,15,PT11M01.00S,1,1610612754,IND,1626167,Turner,M. Turner,-233,15,0,Made,1,6,0,6,h,Turner 3PT Jump Shot (6 PTS) (LeVert 1 AST),Made Shot,Jump Shot,1,0
10,17,PT10M35.00S,1,1610612752,NYK,203944,Randle,J. Randle,-54,203,21,Missed,1,,,0,v,MISS Randle 21' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,0
11,18,PT10M33.00S,1,1610612754,IND,1626167,Turner,M. Turner,0,0,0,,0,,,0,h,Turner REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
12,19,PT10M24.00S,1,1610612754,IND,1627747,LeVert,C. LeVert,-105,70,13,Missed,1,,,0,h,MISS LeVert 13' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,0
13,20,PT10M20.00S,1,1610612754,IND,1626167,Turner,M. Turner,0,0,0,,0,,,0,h,Turner REBOUND (Off:1 Def:1),Rebound,Unknown,1,0
14,21,PT10M19.00S,1,1610612754,IND,1626167,Turner,M. Turner,-12,20,2,Made,1,8,0,8,h,Turner 2' Putback Layup (8 PTS),Made Shot,Putback Layup Shot,1,0
15,22,PT10M19.00S,1,0,,1610612754,,,0,0,0,,0,,,0,h,PACERS Violation: Delay of game Violation,Violation,Delay Of Game,0,0
16,23,PT10M01.00S,1,1610612752,NYK,1629628,Barrett,R. Barrett,99,30,10,Missed,1,,,0,v,MISS Barrett 10' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,0
17,23,PT10M01.00S,1,1610612754,IND,1627747,LeVert,C. LeVert,0,0,0,,0,,,0,h,LeVert BLOCK (1 BLK),,,1,0
18,25,PT09M57.00S,1,1610612754,IND,1627747,LeVert,C. LeVert,0,0,0,,0,,,0,h,LeVert REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
19,26,PT09M55.00S,1,1610612754,IND,1630537,Duarte,C. Duarte,-188,186,26,Made,1,11,0,11,h,Duarte 26' 3PT Running Pull-Up Jump Shot (3 PTS) (LeVert 2 AST),Made Shot,Running Pull-Up Jump Shot,1,0
20,28,PT09M45.00S,1,0,,1610612752,,,0,0,0,,0,,,0,v,Knicks Timeout: Regular (Reg.1 Short 0),Timeout,Regular,0,0
