actionId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue
1,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:41 PM EST),period,start,0,0
2,4,PT12M00.00S,1,1610612751,BKN,1629651,Claxton,N. Claxton,0,0,0,,0,,,0,h,Jump Ball Claxton vs. Gobert: Tip to O'Neale,Jump Ball,,1,0
3,7,PT11M34.00S,1,1610612762,UTA,1628378,Mitchell,D. Mitchell,-92,257,27,Missed,1,,,0,v,MISS Mitchell 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,0
4,8,PT11M30.00S,1,1610612751,BKN,201609,Dragic,G. Dragic,0,0,0,,0,,,0,h,Dragic REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
5,9,PT11M19.00S,1,1610612751,BKN,203552,Curry,S. Curry,55,124,14,Missed,1,,,0,h,MISS Curry 14' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,0
6,10,PT11M17.00S,1,1610612762,UTA,203497,Gobert,R. Gobert,0,0,0,,0,,,0,v,Gobert REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
7,11,PT11M06.00S,1,1610612762,UTA,1628378,Mitchell,D. Mitchell,7,41,4,Missed,1,,,0,v,MISS Mitchell 4' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,1,0
8,12,PT11M02.00S,1,1610612751,BKN,1629651,Claxton,N. Claxton,0,0,0,,0,,,0,h,Claxton REBOUND (Off:0 Def:1),Rebound,Unknown,1,0
9,14,PT10M46.00S,1,1610612751,BKN,201142,Durant,K. Durant,9,110,11,Made,1,2,0,2,h,Durant 11' Pullup Jump Shot (2 PTS) (Claxton 1 AST),Made Shot,Pullup Jump shot,1,0
10,16,PT10M26.00S,1,1610612762,UTA,201144,Conley,M. Conley,-40,105,11,Made,1,2,2,4,v,Conley 11' Driving Floating Jump Shot (2 PTS),Made Shot,Driving Floating Jump Shot,1,0
11,17,PT09M57.00S,1,1610612751,BKN,1628971,Brown,B. Brown,-61,47,8,Missed,1,,,0,h,MISS Brown 8' Turnaround Fadeaway Bank Jump Shot,Missed Shot,Turnaround Fadeaway Bank Jump Shot,1,0
12,17,PT09M57.00S,1,1610612762,UTA,1627823,Hernangomez,J. Hernangomez,0,0,0,,0,,,0,v,Hernangomez BLOCK (1 BLK),,,1,0
13,18,PT09M57.00S,1,1610612751,BKN,1628971,Brown,B. Brown,0,0,0,,0,,,0,h,Brown REBOUND (Off:1 Def:0),Rebound,Unknown,1,0
