actionId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue
1,0,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (7:10 PM EST),period,start,0,0
2,1,PT12M00.00S,1,1610612760,OKC,201586,Ibaka,S. Ibaka,0,0,0,,0,0,0,0,h,Jump Ball Ibaka vs. Hickson: Tip to Sefolosha,Jump Ball,,0,0
3,2,PT11M40.00S,1,1610612760,OKC,201566,Westbrook,R. Westbrook,-65,154,17,Missed,1,0,0,0,h,MISS Westbrook 17' Jump Shot,Missed Shot,Jump Shot,0,0
4,3,PT11M39.00S,1,1610612757,POR,201587,Batum,N. Batum,0,0,0,,0,0,0,0,v,Batum REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
5,4,PT11M24.00S,1,1610612760,OKC,201566,Westbrook,R. Westbrook,0,0,0,,0,0,0,0,h,Westbrook P.FOUL (P1.T1),Foul,Personal,0,0
6,5,PT11M10.00S,1,1610612757,POR,200746,Aldridge,L. Aldridge,174,23,18,Missed,1,0,0,0,v,MISS Aldridge 18' Jump Shot,Missed Shot,Jump Shot,0,0
7,6,PT11M09.00S,1,1610612760,OKC,201142,Durant,K. Durant,0,0,0,,0,0,0,0,h,Durant REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
8,7,PT10M51.00S,1,1610612760,OKC,201142,Durant,K. Durant,110,44,12,Made,1,2,0,2,h,Durant 12' Fadeaway Jumper (2 PTS),Made Shot,Fadeaway Jump Shot,0,0
9,8,PT10M32.00S,1,1610612757,POR,202083,Matthews,W. Matthews,31,238,24,Missed,1,0,0,0,v,MISS Matthews 24' 3PT Jump Shot,Missed Shot,Jump Shot,0,0
10,9,PT10M30.00S,1,1610612757,POR,201587,Batum,N. Batum,0,0,0,,0,0,0,0,v,Batum REBOUND (Off:1 Def:1),Rebound,Unknown,0,0
11,10,PT10M24.00S,1,1610612757,POR,201581,Hickson,J. Hickson,-10,-3,1,Made,1,2,2,4,v,Hickson 1' Layup (2 PTS) (Lillard 1 AST),Made Shot,Layup Shot,0,0
12,11,PT10M00.00S,1,1610612760,OKC,2570,Perkins,K. Perkins,-15,19,2,Made,1,4,2,6,h,Perkins 2' Hook Shot (2 PTS),Made Shot,Hook Shot,0,0
13,12,PT09M42.00S,1,1610612757,POR,200746,Aldridge,L. Aldridge,-62,83,10,Missed,1,0,0,0,v,MISS Aldridge 10' Jump Shot,Missed Shot,Jump Shot,0,0
14,13,PT09M40.00S,1,1610612760,OKC,2570,Perkins,K. Perkins,0,0,0,,0,0,0,0,h,Perkins REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
15,14,PT09M22.00S,1,1610612760,OKC,201142,Durant,K. Durant,0,0,0,,0,0,0,0,h,Durant Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0
16,14,PT09M22.00S,1,1610612757,POR,201581,Hickson,J. Hickson,0,0,0,,0,0,0,0,v,Hickson STEAL (1 STL),,,0,0
17,15,PT09M16.00S,1,1610612757,POR,201581,Hickson,J. Hickson,9,1,1,Missed,1,0,0,0,v,MISS Hickson 1' Dunk,Missed Shot,Dunk Shot,0,0
18,15,PT09M16.00S,1,1610612760,OKC,201586,Ibaka,S. Ibaka,0,0,0,,0,0,0,0,h,Ibaka BLOCK (1 BLK),,,0,0
19,16,PT09M14.00S,1,1610612760,OKC,2570,Perkins,K. Perkins,0,0,0,,0,0,0,0,h,Perkins REBOUND (Off:0 Def:2),Rebound,Unknown,0,0
20,17,PT08M56.00S,1,1610612760,OKC,201566,Westbrook,R. Westbrook,-81,44,9,Missed,1,0,0,0,h,MISS Westbrook 9' Turnaround Bank Shot,Missed Shot,Turnaround Bank shot,0,0
21,18,PT08M55.00S,1,1610612757,POR,200746,Aldridge,L. Aldridge,0,0,0,,0,0,0,0,v,Aldridge REBOUND (Off:0 Def:1),Rebound,Unknown,0,0
22,20,PT08M41.00S,1,1610612757,POR,200746,Aldridge,L. Aldridge,75,173,19,Made,1,4,4,8,v,Aldridge 19' Jump Shot (2 PTS) (Hickson 1 AST),Made Shot,Jump Shot,0,0
