SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,USG_PCT_RANK,PCT_FGM_RANK,PCT_FGA_RANK,PCT_FG3M_RANK,PCT_FG3A_RANK,PCT_FTM_RANK,PCT_FTA_RANK,PCT_OREB_RANK,PCT_DREB_RANK,PCT_REB_RANK,PCT_AST_RANK,PCT_TOV_RANK,PCT_STL_RANK,PCT_BLK_RANK,PCT_BLKA_RANK,PCT_PF_RANK,PCT_PFD_RANK,PCT_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2024-25,1641730,Noah Clowney,Noah,1610612751,BKN,Brooklyn Nets,0022400151,2024-11-03T00:00:00,BKN vs. DET,L,17.0,0.118,0.091,0.136,0.333,0.222,0.125,0.125,1.0,0.167,0.286,0.1,0.0,0.0,0.0,1.0,0.25,0.1,0.121,1,1040,1040,1040,1376,1583,1512,1434,362,775,905,985,1,1017,464,1259,1,991,678,1988,1325,1247,1384,1,16:43
2024-25,1631288,Jamal Cain,Jamal,1610612740,NOP,New Orleans Pelicans,0022400152,2024-11-03T00:00:00,NOP vs. ATL,L,18.0,0.2,0.25,0.2,0.333,0.313,0.333,0.4,0.25,0.083,0.15,0.0,0.0,0.0,0.0,0.0,0.25,0.333,0.28,1,1040,1040,1040,1326,751,537,859,362,391,378,263,592,1533,1188,1547,1,991,678,1,1325,302,403,1,17:52
2024-25,1641810,Antonio Reeves,Antonio,1610612740,NOP,New Orleans Pelicans,0022400152,2024-11-03T00:00:00,NOP vs. ATL,L,4.0,0.222,0.333,0.286,0.5,0.5,0.0,0.0,0.0,0.25,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,1,1040,1040,1040,1918,583,200,303,111,30,1080,1149,1085,584,1064,1547,1,991,678,1,1,65,327,1,3:33
2024-25,1631213,Tyrese Martin,Tyrese,1610612751,BKN,Brooklyn Nets,0022400151,2024-11-03T00:00:00,BKN vs. DET,L,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1040,1040,1040,2026,1967,1738,1925,1135,1613,1080,1149,1085,1,1,1547,1,991,678,1,1,1437,1787,1,1:36
2024-25,1629661,Cameron Johnson,Cameron,1610612751,BKN,Brooklyn Nets,0022400151,2024-11-03T00:00:00,BKN vs. DET,L,30.0,0.323,0.429,0.396,0.429,0.5,0.455,0.462,0.0,0.063,0.053,0.214,0.0,0.167,0.5,0.0,0.231,0.286,0.433,1,1040,1040,1040,562,129,70,55,253,30,222,214,1085,1630,1749,726,1,824,193,1,1289,482,59,1,30:04
2024-25,1630595,Cade Cunningham,Cade,1610612765,DET,Detroit Pistons,0022400151,2024-11-03T00:00:00,DET @ BKN,W,35.0,0.266,0.267,0.232,0.125,0.167,0.125,0.143,0.167,0.192,0.188,0.238,0.5,0.0,0.0,0.0,0.158,0.235,0.226,1,1,1,1,223,342,493,603,983,1072,905,921,818,919,948,637,1903,991,678,1,907,673,667,1,35:26
2024-25,1630553,Keon Johnson,Keon,1610612751,BKN,Brooklyn Nets,0022400151,2024-11-03T00:00:00,BKN vs. DET,L,13.0,0.12,0.143,0.059,0.0,0.0,0.429,0.308,0.0,0.125,0.111,0.0,0.0,0.5,0.5,0.0,0.375,0.222,0.227,1,1040,1040,1040,1595,1563,1190,1870,1135,1613,249,480,1085,1274,1427,1547,1,126,193,1,1775,697,660,1,12:56
2024-25,1642274,Yves Missi,Yves,1610612740,NOP,New Orleans Pelicans,0022400152,2024-11-03T00:00:00,NOP vs. ATL,L,26.0,0.115,0.1,0.136,0.0,0.0,0.0,0.0,0.5,0.273,0.353,0.25,0.083,0.333,0.333,1.0,0.0,0.091,0.07,1,1040,1040,1040,837,1613,1461,1434,1135,1613,1080,1149,168,514,275,556,820,352,376,1988,1,1286,1649,1,25:55
2024-25,202709,Cory Joseph,Cory,1610612753,ORL,Orlando Magic,0022400153,2024-11-03T00:00:00,ORL @ DAL,L,5.0,0.2,0.0,0.222,0.0,0.333,0.0,0.0,1.0,0.0,0.333,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.0,1,1040,1040,1040,1838,751,1738,680,1135,289,1080,1149,1,1719,302,1547,1903,991,678,1,1,769,1787,1,5:14
2024-25,1631204,Marcus Sasser,Marcus,1610612765,DET,Detroit Pistons,0022400151,2024-11-03T00:00:00,DET @ BKN,W,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,2068,1967,1738,1925,1135,1613,1080,1149,1085,1719,1818,1547,1,991,678,1,1,1437,1787,1,0:55
2024-25,1641722,Jordan Hawkins,Jordan,1610612740,NOP,New Orleans Pelicans,0022400152,2024-11-03T00:00:00,NOP vs. ATL,L,31.0,0.284,0.304,0.29,0.333,0.308,0.222,0.2,0.077,0.125,0.103,0.231,0.333,0.0,0.5,0.333,0.182,0.333,0.297,1,1040,1040,1040,491,268,333,295,362,406,648,727,1068,1274,1485,661,1627,991,193,1592,1028,302,345,1,31:17
2024-25,1630811,Keaton Wallace,Keaton,1610612737,ATL,Atlanta Hawks,0022400152,2024-11-03T00:00:00,ATL @ NOP,W,22.0,0.18,0.15,0.189,0.0,0.053,0.0,0.0,0.167,0.067,0.095,0.125,0.2,0.286,0.0,0.0,0.333,0.0,0.118,1,1,1,1,1066,973,1164,975,1135,1571,1080,1149,818,1605,1533,1114,1234,541,678,1,1628,1437,1408,1,21:57
2024-25,202699,Tobias Harris,Tobias,1610612765,DET,Detroit Pistons,0022400151,2024-11-03T00:00:00,DET @ BKN,W,35.0,0.173,0.276,0.22,0.111,0.138,0.091,0.067,0.375,0.08,0.152,0.316,0.067,0.0,0.0,0.0,0.063,0.063,0.231,1,1,1,1,279,1046,452,702,1027,1245,1000,1112,393,1555,1180,401,798,991,678,1,495,1404,640,1,34:38
2024-25,1630631,Jose Alvarado,Jose,1610612740,NOP,New Orleans Pelicans,0022400152,2024-11-03T00:00:00,NOP vs. ATL,L,29.0,0.181,0.136,0.211,0.143,0.304,0.25,0.222,0.091,0.154,0.125,0.583,0.091,0.167,0.0,0.0,0.2,0.222,0.153,1,1040,1040,1040,669,967,1260,787,930,431,557,666,1044,1116,1337,55,845,824,678,1,1089,697,1175,1,28:35
2024-25,1630532,Franz Wagner,Franz,1610612753,ORL,Orlando Magic,0022400153,2024-11-03T00:00:00,ORL @ DAL,L,25.0,0.283,0.353,0.294,0.25,0.095,0.0,0.0,0.2,0.333,0.3,0.545,0.333,0.333,0.0,1.0,0.273,0.0,0.295,1,1040,1040,1040,874,272,165,272,567,1436,1080,1149,739,292,429,68,1627,352,678,1988,1463,1437,348,1,25:11
2024-25,1641783,Tristan da Silva,Tristan,1610612753,ORL,Orlando Magic,0022400153,2024-11-03T00:00:00,ORL @ DAL,L,31.0,0.107,0.095,0.123,0.125,0.143,0.167,0.154,0.125,0.19,0.172,0.154,0.0,0.0,0.5,0.0,0.0,0.176,0.113,1,1040,1040,1040,504,1669,1501,1541,983,1199,793,895,952,926,1051,986,1,991,193,1,1,919,1452,1,31:07
2024-25,1630191,Isaiah Stewart,Isaiah,1610612765,DET,Detroit Pistons,0022400151,2024-11-03T00:00:00,DET @ BKN,W,14.0,0.063,0.0,0.0,0.0,0.0,0.222,0.182,0.0,0.455,0.385,0.0,0.2,0.0,1.0,0.0,0.667,0.286,0.061,1,1,1,1,1547,1916,1738,1925,1135,1613,648,797,1085,133,223,1547,1234,991,1,1,2026,482,1683,1,13:42
2024-25,202681,Kyrie Irving,Kyrie,1610612742,DAL,Dallas Mavericks,0022400153,2024-11-03T00:00:00,DAL vs. ORL,W,28.0,0.221,0.179,0.216,0.167,0.125,0.667,0.467,0.0,0.091,0.071,0.2,0.1,0.4,0.0,0.0,0.167,0.214,0.239,1,1,1,1,680,604,992,741,846,1293,55,213,1085,1484,1643,760,873,294,678,1,913,739,604,1,28:26
2024-25,1629669,Jaylen Nowell,Jaylen,1610612740,NOP,New Orleans Pelicans,0022400152,2024-11-03T00:00:00,NOP vs. ATL,L,4.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1040,1040,1040,1918,1629,1738,1925,1135,1613,1080,1149,1085,1719,1818,1547,2049,991,678,1,1,1437,1787,1,3:33
2024-25,1629027,Trae Young,Trae,1610612737,ATL,Atlanta Hawks,0022400152,2024-11-03T00:00:00,ATL @ NOP,W,31.0,0.236,0.211,0.25,0.5,0.5,0.25,0.25,0.2,0.15,0.16,0.522,0.25,0.143,0.0,0.0,0.083,0.385,0.245,1,1,1,1,481,504,779,466,111,30,557,578,739,1149,1128,85,1404,885,678,1,557,224,569,1,31:21
2024-25,1630527,Brandon Boston Jr.,Brandon,1610612740,NOP,New Orleans Pelicans,0022400152,2024-11-03T00:00:00,NOP vs. ATL,L,30.0,0.203,0.154,0.182,0.091,0.136,0.333,0.333,0.231,0.133,0.179,0.286,0.182,0.0,0.0,1.0,0.222,0.2,0.179,1,1040,1040,1040,557,745,1134,1032,1081,1250,378,363,706,1236,1017,463,1201,991,678,1988,1237,769,980,1,30:09
2024-25,1628464,Daniel Theis,Daniel,1610612740,NOP,New Orleans Pelicans,0022400152,2024-11-03T00:00:00,NOP vs. ATL,L,18.0,0.128,0.188,0.105,0.143,0.067,0.0,0.0,0.0,0.3,0.15,0.0,0.5,0.333,0.0,0.0,0.4,0.0,0.159,1,1040,1040,1040,1337,1491,915,1658,930,1540,1080,1149,1085,414,1188,1547,1903,352,678,1,1811,1437,1123,1,17:38
2024-25,1629029,Luka Dončić,Luka,1610612742,DAL,Dallas Mavericks,0022400153,2024-11-03T00:00:00,DAL vs. ORL,W,32.0,0.372,0.333,0.373,0.714,0.65,0.625,0.583,0.111,0.276,0.237,0.333,0.4,0.0,0.0,0.0,0.3,0.533,0.395,1,1,1,1,458,45,200,73,43,20,88,87,994,513,694,325,1812,991,678,1,1570,61,92,1,31:43
2024-25,203939,Dwight Powell,Dwight,1610612742,DAL,Dallas Mavericks,0022400153,2024-11-03T00:00:00,DAL vs. ORL,W,8.0,0.056,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.286,0.0,0.25,0.0,0.667,0.0,0.429,0.667,0.0,1,1,1,1,1747,1930,1738,1925,1135,1613,1080,263,1085,180,464,1547,1404,991,142,1,1878,26,1787,1,7:48
2024-25,1630314,Brandon Williams,Brandon,1610612742,DAL,Dallas Mavericks,0022400153,2024-11-03T00:00:00,DAL vs. ORL,W,6.0,0.267,0.0,0.3,0.0,0.333,1.0,1.0,0.0,0.2,0.143,1.0,0.0,0.0,0.0,0.0,0.167,0.5,0.286,1,1,1,1,1805,331,1738,244,1135,289,1,1,1085,837,1218,1,1,991,678,1,913,65,379,1,5:46
2024-25,203471,Dennis Schröder,Dennis,1610612751,BKN,Brooklyn Nets,0022400151,2024-11-03T00:00:00,BKN vs. DET,L,33.0,0.127,0.115,0.132,0.167,0.15,0.0,0.0,0.0,0.333,0.278,0.211,0.182,0.5,0.0,0.0,0.188,0.063,0.106,1,1040,1040,1040,359,1501,1386,1472,846,1183,1080,1149,1085,292,510,746,1201,126,678,1,1070,1404,1493,1,33:20
2024-25,1641726,Dereck Lively II,Dereck,1610612742,DAL,Dallas Mavericks,0022400153,2024-11-03T00:00:00,DAL vs. ORL,W,20.0,0.204,0.278,0.189,0.0,0.0,0.111,0.231,0.667,0.304,0.379,0.111,0.333,0.0,0.0,1.0,0.429,0.25,0.22,1,1,1,1,1179,732,444,975,1135,1613,950,650,93,406,228,1185,1627,991,678,1988,1878,567,709,1,20:05
2024-25,1629021,Moritz Wagner,Moritz,1610612753,ORL,Orlando Magic,0022400153,2024-11-03T00:00:00,ORL @ DAL,L,21.0,0.25,0.2,0.25,0.0,0.222,0.667,0.571,0.0,0.6,0.4,0.0,0.143,0.0,0.0,0.0,0.308,0.2,0.256,1,1040,1040,1040,1147,406,812,466,1135,775,55,95,1085,29,185,1547,1030,991,678,1,1602,769,513,1,20:30
2024-25,1629651,Nic Claxton,Nic,1610612751,BKN,Brooklyn Nets,0022400151,2024-11-03T00:00:00,BKN vs. DET,L,22.0,0.267,0.133,0.129,0.0,0.0,0.571,0.75,0.0,0.143,0.125,0.455,0.429,0.25,0.0,0.0,0.417,0.583,0.2,1,1040,1040,1040,1067,331,1272,1493,1135,1613,109,37,1085,1167,1337,165,1861,582,678,1,1867,47,828,1,21:56
2024-25,203501,Tim Hardaway Jr.,Tim,1610612765,DET,Detroit Pistons,0022400151,2024-11-03T00:00:00,DET @ BKN,W,23.0,0.191,0.25,0.243,0.6,0.4,0.143,0.125,0.0,0.0,0.0,0.133,0.0,0.0,0.0,0.0,0.308,0.2,0.269,1,1,1,1,1032,864,537,530,72,139,857,985,1085,1719,1818,1084,1,991,678,1,1602,769,453,1,22:31
2024-25,1631093,Jaden Ivey,Jaden,1610612765,DET,Detroit Pistons,0022400151,2024-11-03T00:00:00,DET @ BKN,W,35.0,0.259,0.148,0.254,0.125,0.241,0.5,0.438,0.0,0.172,0.135,0.278,0.235,0.25,0.167,0.667,0.118,0.294,0.203,1,1,1,1,247,377,1179,458,983,699,149,238,1085,1014,1290,501,1402,582,628,1933,722,475,824,1,35:06
2024-25,1627827,Dorian Finney-Smith,Dorian,1610612751,BKN,Brooklyn Nets,0022400151,2024-11-03T00:00:00,BKN vs. DET,L,28.0,0.111,0.158,0.111,0.333,0.136,0.1,0.077,0.667,0.067,0.167,0.0,0.182,0.333,0.5,0.0,0.214,0.154,0.167,1,1040,1040,1040,686,1629,1115,1612,362,1250,976,1101,93,1605,1064,1547,1201,352,193,1,1208,1013,1058,1,28:23
2024-25,1630592,Jalen Wilson,Jalen,1610612751,BKN,Brooklyn Nets,0022400151,2024-11-03T00:00:00,BKN vs. DET,L,22.0,0.163,0.214,0.214,0.2,0.083,0.091,0.1,0.5,0.222,0.273,0.182,0.0,0.0,0.0,0.5,0.0,0.077,0.182,1,1040,1040,1040,1074,1147,748,746,737,1487,1000,1049,168,754,532,854,1,991,678,1748,1,1347,961,1,21:50
2024-25,1630230,Naji Marshall,Naji,1610612742,DAL,Dallas Mavericks,0022400153,2024-11-03T00:00:00,DAL vs. ORL,W,21.0,0.115,0.118,0.139,0.0,0.125,0.0,0.0,0.0,0.263,0.227,0.417,0.143,0.5,0.0,0.0,0.125,0.2,0.085,1,1,1,1,1107,1603,1373,1411,1135,1293,1080,1149,1085,561,730,217,1030,126,678,1,734,769,1596,1,21:16
2024-25,1630175,Cole Anthony,Cole,1610612753,ORL,Orlando Magic,0022400153,2024-11-03T00:00:00,ORL @ DAL,L,14.0,0.231,0.333,0.222,0.5,0.167,0.286,0.4,0.0,0.333,0.2,0.6,0.2,0.5,0.0,0.333,0.333,0.333,0.333,1,1040,1040,1040,1523,538,200,680,111,1072,498,263,1085,292,843,44,1234,126,678,1592,1628,302,204,1,14:22
2024-25,1629656,Quentin Grimes,Quentin,1610612742,DAL,Dallas Mavericks,0022400153,2024-11-03T00:00:00,DAL vs. ORL,W,17.0,0.119,0.154,0.133,0.333,0.167,0.0,0.0,0.0,0.214,0.167,0.0,0.125,0.667,0.0,0.0,0.154,0.0,0.143,1,1,1,1,1347,1575,1134,1451,362,1072,1080,1149,1085,799,1064,1547,952,78,678,1,880,1437,1230,1,17:27
2024-25,1627736,Malik Beasley,Malik,1610612765,DET,Detroit Pistons,0022400151,2024-11-03T00:00:00,DET @ BKN,W,29.0,0.222,0.261,0.306,0.5,0.458,0.154,0.176,0.0,0.04,0.032,0.077,0.0,0.667,0.0,0.0,0.2,0.063,0.269,1,1,1,1,605,583,519,229,111,92,841,833,1085,1710,1803,1403,1,78,678,1,1089,1404,457,1,29:19
2024-25,1630591,Jalen Suggs,Jalen,1610612753,ORL,Orlando Magic,0022400153,2024-11-03T00:00:00,ORL @ DAL,L,29.0,0.2,0.211,0.232,0.333,0.208,0.111,0.182,0.143,0.231,0.2,0.182,0.0,0.2,0.667,0.0,0.133,0.583,0.2,1,1040,1040,1040,661,751,779,603,362,860,950,797,896,715,843,854,1,736,142,1,795,47,828,1,28:39
2024-25,1631323,Simone Fontecchio,Simone,1610612765,DET,Detroit Pistons,0022400151,2024-11-03T00:00:00,DET @ BKN,W,24.0,0.143,0.063,0.158,0.2,0.211,0.308,0.333,0.5,0.286,0.32,0.091,0.0,0.0,0.0,0.5,0.077,0.25,0.14,1,1,1,1,962,1344,1651,1255,737,848,464,363,168,460,377,1322,1,991,678,1748,539,567,1259,1,23:55
2024-25,1631105,Jalen Duren,Jalen,1610612765,DET,Detroit Pistons,0022400151,2024-11-03T00:00:00,DET @ BKN,W,33.0,0.145,0.192,0.093,0.0,0.0,0.25,0.267,0.429,0.519,0.5,0.222,0.267,0.333,0.75,0.0,0.2,0.353,0.183,1,1,1,1,366,1342,890,1748,1135,1613,557,558,320,49,51,690,1531,352,131,1,1089,290,959,1,33:15
2024-25,1629003,Shake Milton,Shake,1610612751,BKN,Brooklyn Nets,0022400151,2024-11-03T00:00:00,BKN vs. DET,L,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1040,1040,1040,2026,1967,1738,1925,1135,1613,1080,1149,1085,1719,1818,1547,1,991,678,1,1,1437,1787,1,1:36
2024-25,1641765,Olivier-Maxence Prosper,Olivier-Maxence,1610612742,DAL,Dallas Mavericks,0022400153,2024-11-03T00:00:00,DAL vs. ORL,W,6.0,0.133,0.0,0.2,0.0,0.167,0.0,0.0,1.0,0.0,0.286,0.0,0.0,0.0,0.0,1.0,0.167,0.0,0.0,1,1,1,1,1801,1430,1738,859,1135,1072,1080,1149,1,1719,464,1547,1,991,678,1988,913,1437,1787,1,5:57
2024-25,203484,Kentavious Caldwell-Pope,Kentavious,1610612753,ORL,Orlando Magic,0022400153,2024-11-03T00:00:00,ORL @ DAL,L,26.0,0.102,0.1,0.122,0.333,0.261,0.167,0.143,0.25,0.125,0.15,0.077,0.0,0.0,0.0,0.0,0.25,0.0,0.135,1,1040,1040,1040,835,1696,1461,1543,362,602,793,921,592,1274,1188,1403,1,991,678,1,1325,1437,1292,1,26:00
2024-25,203915,Spencer Dinwiddie,Spencer,1610612742,DAL,Dallas Mavericks,0022400153,2024-11-03T00:00:00,DAL vs. ORL,W,16.0,0.027,0.0,0.038,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.286,0.0,0.0,1.0,0.0,0.125,0.143,0.0,1,1,1,1,1435,1963,1738,1906,1135,1371,1080,1149,1085,1719,1818,463,1,991,1,1,734,1029,1787,1,15:49
2024-25,1627742,Brandon Ingram,Brandon,1610612740,NOP,New Orleans Pelicans,0022400152,2024-11-03T00:00:00,NOP vs. ATL,L,30.0,0.403,0.5,0.373,0.571,0.4,0.667,0.625,0.143,0.5,0.368,0.167,0.462,0.5,0.5,0.0,0.364,0.571,0.525,1,1040,1040,1040,596,28,19,74,88,139,55,70,896,51,250,916,1898,126,193,1,1756,50,19,1,29:31
2024-25,202691,Klay Thompson,Klay,1610612742,DAL,Dallas Mavericks,0022400153,2024-11-03T00:00:00,DAL vs. ORL,W,29.0,0.162,0.143,0.192,0.143,0.294,0.0,0.0,0.125,0.16,0.152,0.25,0.1,0.0,1.0,0.0,0.0,0.0,0.132,1,1,1,1,667,1161,1190,955,930,476,1080,1149,952,1097,1180,556,873,991,1,1,1,1437,1300,1,28:36
2024-25,1631216,Caleb Houstan,Caleb,1610612753,ORL,Orlando Magic,0022400153,2024-11-03T00:00:00,ORL @ DAL,L,7.0,0.15,0.333,0.25,0.0,0.0,0.0,0.0,0.333,0.167,0.222,0.0,0.0,0.0,0.0,0.5,0.333,0.167,0.167,1,1040,1040,1040,1768,1287,200,466,1135,1613,1080,1149,415,1017,747,1547,1,991,678,1748,1628,933,1058,1,6:59
2024-25,1641842,Ronald Holland II,Ronald,1610612765,DET,Detroit Pistons,0022400151,2024-11-03T00:00:00,DET @ BKN,W,10.0,0.043,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1,1,1,1,1677,1950,1738,1786,1135,1613,1080,1149,1085,1719,1818,556,1,991,678,1,1325,1437,1787,1,10:20
2024-25,1630526,Jeremiah Robinson-Earl,Jeremiah,1610612740,NOP,New Orleans Pelicans,0022400152,2024-11-03T00:00:00,NOP vs. ATL,L,25.0,0.141,0.091,0.163,0.167,0.13,0.0,0.0,0.5,0.071,0.269,0.133,0.125,0.333,0.0,0.0,0.111,0.0,0.09,1,1040,1040,1040,900,1382,1512,1210,846,1279,1080,1149,168,1587,554,1084,952,352,678,1,662,1437,1579,1,24:55
2024-25,1641724,Jett Howard,Jett,1610612753,ORL,Orlando Magic,0022400153,2024-11-03T00:00:00,ORL @ DAL,L,22.0,0.268,0.25,0.286,0.333,0.421,0.333,0.25,0.0,0.053,0.04,0.0,0.222,0.333,0.0,0.25,0.125,0.083,0.273,1,1040,1040,1040,1055,329,537,303,362,122,378,578,1085,1662,1781,1547,1353,352,678,1494,734,1315,439,1,22:08
2024-25,203991,Clint Capela,Clint,1610612737,ATL,Atlanta Hawks,0022400152,2024-11-03T00:00:00,ATL @ NOP,W,21.0,0.102,0.154,0.119,0.0,0.0,0.0,0.0,0.0,0.235,0.19,0.0,0.0,0.0,1.0,0.5,0.143,0.25,0.131,1,1,1,1,1139,1690,1134,1569,1135,1613,1080,1149,1085,695,935,1547,1,991,1,1748,816,567,1311,1,20:39
2024-25,1627732,Ben Simmons,Ben,1610612751,BKN,Brooklyn Nets,0022400151,2024-11-03T00:00:00,BKN vs. DET,L,24.0,0.137,0.118,0.105,0.0,0.0,0.0,0.0,0.0,0.4,0.333,0.5,0.429,0.25,0.0,0.0,0.182,0.167,0.08,1,1040,1040,1040,930,1402,1373,1658,1135,1613,1080,1149,1085,180,302,89,1861,582,678,1,1028,933,1611,1,24:28
