,PERSON_ID,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,PLAYER_SLUG,TEAM_ID,TEAM_SLUG,IS_DEFUNCT,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,PTS,REB,AST,STATS_TIMEFRAME,FROM_YEAR,TO_YEAR
1435,76751,Frazier,Will,will-frazier,1610612744,warriors,False,Golden State,Warriors,GSW,,F,79.0,210.0,Grambling,USA,1965.0,2.0,9.0,,0.5,2.5,0.5,Career,1965,1965
1436,1626187,Frazier II,Michael,michael-frazier-ii,1610612745,rockets,False,Houston,Rockets,HOU,21.0,G,75.0,200.0,Florida,USA,,,,,2.1,0.8,0.2,Career,2018,2019
1437,1628982,Frazier Jr.,Melvin,melvin-frazier-jr,1610612760,thunder,False,Oklahoma City,Thunder,OKC,6.0,G-F,77.0,215.0,Tulane,USA,2018.0,2.0,35.0,,2.7,0.9,0.2,Career,2018,2021
1438,76752,Frederick,Anthony,anthony-frederick,1610612766,hornets,False,Charlotte,Hornets,CHA,24.0,F,79.0,205.0,Pepperdine,USA,1986.0,6.0,133.0,,4.9,1.9,0.9,Career,1988,1991
1439,202690,Fredette,Jimmer,jimmer-fredette,1610612758,kings,False,Sacramento,Kings,SAC,32.0,G,74.0,195.0,Brigham Young,USA,2011.0,1.0,10.0,,6.0,1.0,1.4,Career,2011,2018
1440,76753,Free,World,world-free,1610612739,cavaliers,False,Cleveland,Cavaliers,CLE,21.0,G,75.0,185.0,Guilford,USA,1975.0,2.0,23.0,,20.3,2.7,3.7,Career,1975,1987
1441,202683,Freedom,Enes,enes-freedom,1610612738,celtics,False,Boston,Celtics,BOS,11.0,C,82.0,250.0,Fenerbahce,Turkey,2011.0,1.0,3.0,,11.2,7.8,0.9,Career,2011,2021
1442,200777,Freeland,Joel,joel-freeland,1610612757,blazers,False,Portland,Trail Blazers,POR,19.0,C-F,82.0,225.0,Malaga,United Kingdom,2006.0,1.0,30.0,,3.2,3.4,0.4,Career,2012,2014
1443,76754,Freeman,Donnie,donnie-freeman,1610612747,lakers,False,Los Angeles,Lakers,LAL,20.0,G,75.0,185.0,Illinois,USA,1966.0,3.0,29.0,,10.8,2.8,2.7,Career,1975,1975
1444,1642402,Freeman,Enrique,enrique-freeman,1610612754,pacers,False,Indiana,Pacers,IND,8.0,F,79.0,206.0,Akron,USA,2024.0,2.0,50.0,True,2.0,0.5,0.0,Season,2024,2024
1445,76755,Freeman,Gary,gary-freeman,1610612749,bucks,False,Milwaukee,Bucks,MIL,23.0,F,81.0,210.0,Oregon State,USA,1970.0,1.0,16.0,,3.2,2.0,0.7,Career,1970,1970
1446,76756,Freeman,Rod,rod-freeman,1610612755,sixers,False,Philadelphia,76ers,PHI,26.0,F,79.0,225.0,Vanderbilt,USA,1973.0,11.0,166.0,,3.0,1.5,0.4,Career,1973,1973
1447,1631241,Freeman-Liberty,Javon,javon-freeman-liberty,1610612761,raptors,False,Toronto,Raptors,TOR,0.0,G,75.0,190.0,DePaul,USA,,,,,7.0,3.2,1.8,Career,2023,2023
1448,2782,Freije,Matt,matt-freije,1610612740,pelicans,False,New Orleans,Pelicans,NOP,,F,81.0,249.0,Vanderbilt,USA,2004.0,2.0,53.0,,3.2,2.0,0.6,Career,2004,2006
1449,76757,Frey,Frido,frido-frey,1610612752,knicks,False,New York,Knicks,NYK,4.0,F,74.0,195.0,Long Island-Brooklyn,USA,,,,,3.8,,0.6,Career,1946,1946
1450,76758,Friend,Larry,larry-friend,1610612752,knicks,False,New York,Knicks,NYK,7.0,G,76.0,185.0,California,USA,1957.0,2.0,13.0,,4.0,2.4,1.1,Career,1957,1957
1451,76759,Frink,Pat,pat-frink,1610612758,kings,False,Sacramento,Kings,SAC,17.0,G,76.0,195.0,Colorado,USA,1968.0,3.0,27.0,,2.6,0.9,1.1,Career,1968,1968
1452,76760,Fritsche,Jim,jim-fritsche,1610610024,,True,Baltimore,Bullets,BAL,8.0,C,80.0,210.0,Hamline,USA,1953.0,1.0,7.0,,3.9,3.0,0.9,Career,1953,1954
1453,101112,Frye,Channing,channing-frye,1610612756,suns,False,Phoenix,Suns,PHX,9.0,F-C,84.0,255.0,Arizona,USA,2005.0,1.0,8.0,,8.7,4.5,1.0,Career,2005,2018
1454,76761,Fryer,Bernie,bernie-fryer,1610612757,blazers,False,Portland,Trail Blazers,POR,25.0,G,75.0,185.0,Brigham Young,USA,1972.0,7.0,109.0,,6.2,1.8,3.0,Career,1973,1974
1455,76762,Fucarino,Frank,frank-fucarino,1610610035,,True,Toronto,Huskies,HUS,,F,74.0,175.0,Long Island-Brooklyn,USA,,,,,5.0,,0.3,Career,1946,1946
1456,1641788,Fudge,Alex,alex-fudge,1610612742,mavericks,False,Dallas,Mavericks,DAL,17.0,F,80.0,200.0,Florida,USA,,,,,2.5,0.8,0.0,Career,2023,2023
1457,76763,Fuetsch,Herm,herm-fuetsch,1610610024,,True,Baltimore,Bullets,BAL,,G,72.0,170.0,Polytechnic HS (CA),USA,,,,,2.6,,0.4,Career,1947,1947
1458,76764,Fulks,Joe,joe-fulks,1610612744,warriors,False,Golden State,Warriors,GSW,10.0,F,77.0,190.0,Murray State,USA,,,,,16.4,5.3,1.2,Career,1946,1953
1459,2673,Fuller,Hiram,hiram-fuller,1610612737,hawks,False,Atlanta,Hawks,ATL,15.0,F,81.0,240.0,Fresno State,USA,,,,,2.0,2.8,0.5,Career,2003,2003
1460,957,Fuller,Todd,todd-fuller,1610612744,warriors,False,Golden State,Warriors,GSW,52.0,C,83.0,255.0,North Carolina State,USA,1996.0,1.0,11.0,,3.7,3.0,0.2,Career,1996,2000
1461,76765,Fuller,Tony,tony-fuller,1610612765,pistons,False,Detroit,Pistons,DET,,G,76.0,180.0,Pepperdine,USA,1980.0,5.0,93.0,,4.0,2.8,1.9,Career,1980,1980
1462,1628365,Fultz,Markelle,markelle-fultz,1610612753,magic,False,Orlando,Magic,ORL,20.0,G,76.0,209.0,Washington,USA,2017.0,1.0,1.0,,11.1,3.4,4.6,Career,2017,2023
1463,1444,Funderburke,Lawrence,lawrence-funderburke,1610612758,kings,False,Sacramento,Kings,SAC,51.0,F,81.0,230.0,Ohio State,USA,1994.0,2.0,51.0,,6.4,3.6,0.6,Career,1997,2004
1464,1641847,Funk,Andrew,andrew-funk,1610612743,nuggets,False,Denver,Nuggets,DEN,,G,77.0,200.0,Penn State,USA,,,,,0.0,0.0,0.0,Career,2023,2023
1465,76767,Furlow,Terry,terry-furlow,1610612739,cavaliers,False,Cleveland,Cavaliers,CLE,25.0,G,77.0,190.0,Michigan State,USA,1976.0,1.0,12.0,,10.7,2.1,2.4,Career,1976,1979
